"Dataset","Preprocessing","Var_Selection","PLS_Method","ncomp","R2","RMSE","MAE"
"Dataset 1 with Ref 1","SNV","GA","kernelpls",8,-4.18265566560643,3.78124286657292,2.95939268177134
"Dataset 1 with Ref 1","SNV","GA","widekernelpls",11,-2.21139624149411,2.91629544276811,2.3325866515407
"Dataset 1 with Ref 1","1st_Der","None","simpls",2,0.168580080269896,1.62157222390379,1.09723100025293
"Dataset 1 with Ref 1","1st_Der","None","nipals",20,0.150078029043685,1.64181753894258,1.09513236567509
"Dataset 1 with Ref 1","1st_Der","None","kernelpls",2,0.196124994101847,1.61042757933264,1.04905831407104
"Dataset 1 with Ref 1","1st_Der","None","widekernelpls",2,0.209842823723158,1.52959778264657,1.03165822832123
"Dataset 1 with Ref 1","1st_Der","VIP","simpls",2,0.23586735717656,1.5999133902968,1.02848396587775
"Dataset 1 with Ref 1","1st_Der","VIP","nipals",19,-0.140859241819433,1.6851311371802,1.15789788344099
"Dataset 1 with Ref 1","1st_Der","VIP","kernelpls",2,-0.13880929059769,1.84060618691344,1.23407662358699
"Dataset 1 with Ref 1","1st_Der","VIP","widekernelpls",2,0.0363941893043835,1.66755847593282,1.14513905422792
"Dataset 1 with Ref 1","1st_Der","SR","simpls",2,0.219130170030235,1.56544672939917,1.02114312561207
"Dataset 1 with Ref 1","1st_Der","SR","nipals",2,0.043378041110885,1.65594282318857,1.06406188480477
"Dataset 1 with Ref 1","1st_Der","SR","kernelpls",2,0.23596779605146,1.55773285677874,0.992092227830723
"Dataset 1 with Ref 1","1st_Der","SR","widekernelpls",2,0.0938879895591295,1.653408020403,1.07010800944208
"Dataset 1 with Ref 1","1st_Der","sMC","simpls",2,0.175323580851927,1.53929743436681,1.04091735128719
"Dataset 1 with Ref 1","1st_Der","sMC","nipals",20,0.120313053393383,1.67195849819026,1.09543798615178
"Dataset 1 with Ref 1","1st_Der","sMC","kernelpls",2,0.131463639016287,1.62548198674006,1.08448372251678
"Dataset 1 with Ref 1","1st_Der","sMC","widekernelpls",2,-0.0100355679332067,1.73252421289544,1.11698774802803
"Dataset 1 with Ref 1","1st_Der","UVE","simpls",2,0.263939917299081,1.52992906069748,0.994584258227219
"Dataset 1 with Ref 1","1st_Der","UVE","nipals",10,0.126904162527724,1.66562737908278,1.05396351643442
"Dataset 1 with Ref 1","1st_Der","UVE","kernelpls",2,0.213586916280253,1.58851487001547,0.965899804609345
"Dataset 1 with Ref 1","1st_Der","UVE","widekernelpls",2,0.16985009153436,1.56959089193078,0.979807167593342
"Dataset 1 with Ref 1","1st_Der","GA","simpls",2,0.181244805749894,1.6186970955529,1.0578692577886
"Dataset 1 with Ref 1","1st_Der","GA","nipals",13,-0.0593178822801068,1.77034450991459,1.17541265306481
"Dataset 1 with Ref 1","1st_Der","GA","kernelpls",2,0.0696086484115472,1.69863602762173,1.12298907759304
"Dataset 1 with Ref 1","1st_Der","GA","widekernelpls",2,0.217333701504684,1.59043843198314,1.09066297141706
"Dataset 1 with Ref 1","2nd_Der","None","simpls",3,0.187847234224024,1.63156351917177,1.05275121439669
"Dataset 1 with Ref 1","2nd_Der","None","nipals",20,0.10478948780526,1.72697638355136,1.0619916293169
"Dataset 1 with Ref 1","2nd_Der","None","kernelpls",3,0.189043801551341,1.6282802320868,1.08806351888484
"Dataset 1 with Ref 1","2nd_Der","None","widekernelpls",4,0.137328291476246,1.65592862996328,1.15749976503955
"Dataset 1 with Ref 1","2nd_Der","VIP","simpls",3,0.17929186052917,1.6426124262778,1.01883744140697
"Dataset 1 with Ref 1","2nd_Der","VIP","nipals",13,0.0907958878303996,1.66703619722489,1.08834160038069
"Dataset 1 with Ref 1","2nd_Der","VIP","kernelpls",4,0.162372593340567,1.64748206803844,1.06423224910316
"Dataset 1 with Ref 1","2nd_Der","VIP","widekernelpls",3,-0.0190930181127544,1.79999867778267,1.16611960765313
"Dataset 1 with Ref 1","2nd_Der","SR","simpls",2,0.157296669436668,1.65252319462507,0.98968434557069
"Dataset 1 with Ref 1","2nd_Der","SR","nipals",20,0.0420426047487511,1.77106872336268,1.0888394885087
"Dataset 1 with Ref 1","2nd_Der","SR","kernelpls",2,0.125966449039288,1.68111588841563,1.02251157974396
"Dataset 1 with Ref 1","2nd_Der","SR","widekernelpls",3,-0.0217814005494083,1.73516561382366,1.10662421868549
"Dataset 1 with Ref 1","2nd_Der","sMC","simpls",3,0.0757342279324083,1.67075118659436,1.09189893308471
"Dataset 1 with Ref 1","2nd_Der","sMC","nipals",20,0.124742774400624,1.69080943466271,1.08798007939194
"Dataset 1 with Ref 1","2nd_Der","sMC","kernelpls",4,0.0841992951874673,1.67522403417209,1.07746422330649
"Dataset 1 with Ref 1","2nd_Der","sMC","widekernelpls",7,0.0302739707752045,1.7126876017276,1.11016703198658
"Dataset 1 with Ref 1","2nd_Der","UVE","simpls",2,0.22512475507855,1.54485501404819,0.963910719929514
"Dataset 1 with Ref 1","2nd_Der","UVE","nipals",15,0.0992770769164222,1.70627084833325,1.04619265144477
"Dataset 1 with Ref 1","2nd_Der","UVE","kernelpls",2,-0.0837972306288036,1.69623779710913,1.16026874820753
"Dataset 1 with Ref 1","2nd_Der","UVE","widekernelpls",3,0.157985886416287,1.60625169795527,1.0795655830664
"Dataset 1 with Ref 1","2nd_Der","GA","simpls",2,0.179796429144056,1.61685773495704,1.05359809076526
"Dataset 1 with Ref 1","2nd_Der","GA","nipals",20,-0.166213394700511,1.80796572972477,1.20925366506073
"Dataset 1 with Ref 1","2nd_Der","GA","kernelpls",2,0.0680881576034846,1.67585120509734,1.07592019603272
"Dataset 1 with Ref 1","2nd_Der","GA","widekernelpls",2,0.311833196670459,1.50471088142778,1.02728703997997
"Dataset 1 with Ref 1","EMSC","None","simpls",9,0.355481588082314,1.37900219214357,0.966837564166418
"Dataset 1 with Ref 1","EMSC","None","nipals",9,0.266491889974378,1.55195451727145,1.03614950628981
"Dataset 1 with Ref 1","EMSC","None","kernelpls",7,0.266149082382264,1.53983078459318,1.07859104806015
"Dataset 1 with Ref 1","EMSC","None","widekernelpls",3,0.240960982372345,1.52957610458617,1.00979875977643
"Dataset 1 with Ref 1","EMSC","VIP","simpls",3,-164.712191740101,20.3350390599955,17.9078281449413
"Dataset 1 with Ref 1","EMSC","VIP","nipals",7,-173.331218872146,13.0906095552742,10.8927134983605
"Dataset 1 with Ref 1","EMSC","VIP","kernelpls",12,-102.104794639011,13.651262527461,10.3422362954299
"Dataset 1 with Ref 1","EMSC","VIP","widekernelpls",8,-47.0030485582289,10.5959136985017,8.99228844940685
"Dataset 1 with Ref 1","EMSC","SR","simpls",8,-4.26538325004647,4.11623222198475,3.18299810499672
"Dataset 1 with Ref 1","EMSC","SR","nipals",3,-5.52486555201592,4.16503070182795,3.23093539838705
"Dataset 1 with Ref 1","EMSC","SR","kernelpls",9,-6.96247798276842,4.33950824793177,3.4025744557016
"Dataset 1 with Ref 1","EMSC","SR","widekernelpls",3,-12.8169833993137,4.6810995369298,3.6341667618035
"Dataset 1 with Ref 1","EMSC","sMC","simpls",1,-111.204318066257,16.2068946093185,14.7828033822761
"Dataset 1 with Ref 1","EMSC","sMC","nipals",1,-86.5937853037693,15.5837810213235,14.9605267547326
"Dataset 1 with Ref 1","EMSC","sMC","kernelpls",17,-54.8836336606295,12.7401351218794,10.6499796486113
"Dataset 1 with Ref 1","EMSC","sMC","widekernelpls",1,-17.2499402466855,5.98377363095986,5.29100173731005
"Dataset 1 with Ref 1","EMSC","UVE","simpls",1,-9.18834101004214,5.28165962355851,4.4173091458685
"Dataset 1 with Ref 1","EMSC","UVE","nipals",2,-14.1828865889631,6.53582024032755,5.16424241636597
"Dataset 1 with Ref 1","EMSC","UVE","kernelpls",4,-19.8052809996977,6.40790578239816,5.2345152701973
"Dataset 1 with Ref 1","EMSC","UVE","widekernelpls",11,-12.704231846483,6.58967462754408,5.03452171342873
"Dataset 1 with Ref 1","EMSC","GA","simpls",10,-724.550336998824,45.2537783196764,33.4479869046955
"Dataset 1 with Ref 1","EMSC","GA","nipals",1,-904.516351783386,50.0876642082386,38.281138841071
"Dataset 1 with Ref 1","EMSC","GA","kernelpls",11,-586.503046254326,40.6713499370488,33.0996557762766
"Dataset 1 with Ref 1","EMSC","GA","widekernelpls",7,-522.517137705791,37.8532485220646,30.1628825140906
"Dataset 1 with Ref 1","RNV","None","simpls",4,0.0842047718607741,1.69600956167917,1.13865816870305
"Dataset 1 with Ref 1","RNV","None","nipals",2,-12368784.4728297,5533.1819796533,3426.34314344132
"Dataset 1 with Ref 1","RNV","None","kernelpls",5,0.144050288103967,1.66150758567131,1.09840565812072
"Dataset 1 with Ref 1","RNV","None","widekernelpls",4,-0.103876477183778,1.77998933421952,1.166189256871
"Dataset 1 with Ref 1","RNV","VIP","simpls",3,0.168709568943924,1.67454569782025,1.095343441259
"Dataset 1 with Ref 1","RNV","VIP","nipals",2,-20172935.9663201,5448.20948545857,3356.47886733152
"Dataset 1 with Ref 1","RNV","VIP","kernelpls",5,-0.00650760356133462,1.79099450974505,1.18943450615759
"Dataset 1 with Ref 1","RNV","VIP","widekernelpls",3,0.0944317083764819,1.58447830181283,1.07319262829531
"Dataset 1 with Ref 1","RNV","SR","simpls",1,0.0803326874776614,1.73155918774606,1.12457660730882
"Dataset 1 with Ref 1","RNV","SR","nipals",4,-2244980.90296515,1883.34310691933,1126.17536627496
"Dataset 1 with Ref 1","RNV","SR","kernelpls",1,0.113096881900729,1.67839390496704,1.08188069413251
"Dataset 1 with Ref 1","RNV","SR","widekernelpls",8,0.00101060008320035,1.75195108636944,1.12196315571386
"Dataset 1 with Ref 1","RNV","sMC","simpls",9,-0.0694177894828744,1.68937924677102,1.19573950890939
"Dataset 1 with Ref 1","RNV","sMC","nipals",2,-9048613.1110261,5305.06627626566,3259.50460033108
"Dataset 1 with Ref 1","RNV","sMC","kernelpls",3,0.100936127121035,1.6868577241684,1.12235192371438
"Dataset 1 with Ref 1","RNV","sMC","widekernelpls",3,-0.263331075045703,1.75481275460509,1.2005455000158
"Dataset 1 with Ref 1","RNV","UVE","simpls",2,0.26239373066903,1.52079029389843,1.01626642026956
"Dataset 1 with Ref 1","RNV","UVE","nipals",2,-2587901.93411937,2737.91575108208,1939.69949289985
"Dataset 1 with Ref 1","RNV","UVE","kernelpls",3,0.132255170232641,1.61985088613448,1.06860863580637
"Dataset 1 with Ref 1","RNV","UVE","widekernelpls",2,0.215442212104274,1.6076925513338,1.0361766979727
"Dataset 1 with Ref 1","RNV","GA","simpls",4,0.164087217500573,1.63355775422175,1.07477149562417
"Dataset 1 with Ref 1","RNV","GA","nipals",2,-1229855.86094672,1869.9630719576,1225.66025942724
"Dataset 1 with Ref 1","RNV","GA","kernelpls",3,0.129936464004805,1.67513353523136,1.10538062094413
"Dataset 1 with Ref 1","RNV","GA","widekernelpls",2,-0.119585073682161,1.63647144102655,1.11704110404848
"Dataset 1 with Ref 2","Raw","None","simpls",3,-0.329927371180711,1.75878411314464,1.10087671324233
"Dataset 1 with Ref 2","Raw","None","nipals",8,-0.31354117673829,1.88849263619568,1.24838574820632
"Dataset 1 with Ref 2","Raw","None","kernelpls",5,-0.0304189263654596,1.79507543247615,1.10655162791053
"Dataset 1 with Ref 2","Raw","None","widekernelpls",7,0.0831126912329104,1.70457947313009,1.09157694786589
"Dataset 1 with Ref 2","Raw","VIP","simpls",2,-0.0667729868485309,1.66430462471056,1.04239514631712
"Dataset 1 with Ref 2","Raw","VIP","nipals",2,-0.224621560006941,1.9785786435268,1.21485162280397
"Dataset 1 with Ref 2","Raw","VIP","kernelpls",2,0.0791297327042846,1.65227613932285,1.03563065417504
"Dataset 1 with Ref 2","Raw","VIP","widekernelpls",2,0.0922663000833049,1.6647683720088,1.01091878874045
"Dataset 1 with Ref 2","Raw","SR","simpls",3,0.0363303778681944,1.7523397167176,1.07908862465905
"Dataset 1 with Ref 2","Raw","SR","nipals",3,-0.427302565739052,1.99854952878083,1.30541220541939
"Dataset 1 with Ref 2","Raw","SR","kernelpls",4,0.0887115816711883,1.65996662123231,1.07891488468883
"Dataset 1 with Ref 2","Raw","SR","widekernelpls",4,0.0242205467586273,1.75753240696203,1.07795284644077
"Dataset 1 with Ref 2","Raw","sMC","simpls",5,0.144341898897546,1.68184179552504,1.05591209986373
"Dataset 1 with Ref 2","Raw","sMC","nipals",5,-0.284742299180036,2.06578614120475,1.2717149090475
"Dataset 1 with Ref 2","Raw","sMC","kernelpls",8,0.0641582323690451,1.77126407386372,1.11550004740137
"Dataset 1 with Ref 2","Raw","sMC","widekernelpls",4,-0.0198522246247066,1.76880702514846,1.12742995337559
"Dataset 1 with Ref 2","Raw","UVE","simpls",1,0.0877505728248078,1.71910511250896,0.940152138768666
"Dataset 1 with Ref 2","Raw","UVE","nipals",1,0.0387001175973004,1.7427549651332,0.971822313126015
"Dataset 1 with Ref 2","Raw","UVE","kernelpls",2,0.0510750063598012,1.7868381000493,0.955640561722908
"Dataset 1 with Ref 2","Raw","UVE","widekernelpls",1,-0.080024936047615,1.77548199725973,1.00244518809724
"Dataset 1 with Ref 2","Raw","GA","simpls",1,0.0180225037262967,1.74842871860721,1.07487707614175
"Dataset 1 with Ref 2","Raw","GA","nipals",20,0.0723907728800348,1.72217521804213,1.07301672175177
"Dataset 1 with Ref 2","Raw","GA","kernelpls",1,-0.236242296027344,1.91035860166079,1.14017605689214
"Dataset 1 with Ref 2","Raw","GA","widekernelpls",7,0.048529102498836,1.76191169236613,1.08097599874017
"Dataset 1 with Ref 2","SNV","None","simpls",4,-7.03006866669401,4.38108137757443,3.467899610481
"Dataset 1 with Ref 2","SNV","None","nipals",1,-7.7134660167022,4.68413889262647,3.64745659116939
"Dataset 1 with Ref 2","SNV","None","kernelpls",9,-2.58844782888506,3.09790779496931,2.36013302143708
"Dataset 1 with Ref 2","SNV","None","widekernelpls",3,-2.28407106000544,2.95179897928839,2.32514267988318
"Dataset 1 with Ref 2","SNV","VIP","simpls",2,-9.67532653607292,4.55248390756616,3.29009752438153
"Dataset 1 with Ref 2","SNV","VIP","nipals",1,-31.4519299323672,4.38951175969345,3.17413196087072
"Dataset 1 with Ref 2","SNV","VIP","kernelpls",10,-4.47819396751011,3.63802245230311,2.54280692539235
"Dataset 1 with Ref 2","SNV","VIP","widekernelpls",3,-5.34043983554767,3.4343236511044,2.59629775319307
"Dataset 1 with Ref 2","SNV","SR","simpls",2,-1.21287146876356,2.58680113509657,1.81580875110349
"Dataset 1 with Ref 2","SNV","SR","nipals",2,-3.18517416038431,2.58859234262772,1.81439138460712
"Dataset 1 with Ref 2","SNV","SR","kernelpls",2,-2.32706566163758,2.70224366383491,1.91774521514621
"Dataset 1 with Ref 2","SNV","SR","widekernelpls",4,-1.59655704119117,2.52237209980622,1.77937187966165
"Dataset 1 with Ref 2","SNV","sMC","simpls",1,-12.0844941576982,3.71096227199151,2.75984713114868
"Dataset 1 with Ref 2","SNV","sMC","nipals",1,-6.03615535234367,3.95618285878076,2.95496778889464
"Dataset 1 with Ref 2","SNV","sMC","kernelpls",11,-5.13806444811014,3.63372807145455,2.75848864302682
"Dataset 1 with Ref 2","SNV","sMC","widekernelpls",11,-8.34377165860491,4.54580480445456,3.35922149065529
"Dataset 1 with Ref 2","SNV","UVE","simpls",1,0.0157660773288288,1.72087987159236,1.10760533276339
"Dataset 1 with Ref 2","SNV","UVE","nipals",1,-0.277728391221242,1.8767518621704,1.24562213277872
"Dataset 1 with Ref 2","SNV","UVE","kernelpls",2,-0.461098119963822,1.74129204857355,1.08126446218143
"Dataset 1 with Ref 2","SNV","UVE","widekernelpls",2,-0.302944632043308,1.91458728355407,1.26406895768542
"Dataset 1 with Ref 2","SNV","GA","simpls",4,-10.3307545123118,4.43026423188097,3.31926348186085
"Dataset 1 with Ref 2","SNV","GA","nipals",1,-5.47645265596941,3.82756566916207,2.96684806430428
"Dataset 1 with Ref 2","SNV","GA","kernelpls",12,-5.19050901538999,3.5424869829932,2.66656743288312
"Dataset 1 with Ref 2","SNV","GA","widekernelpls",13,-5.32829483673992,4.40647801269957,3.32513855140994
"Dataset 1 with Ref 2","1st_Der","None","simpls",2,-0.014600203874226,1.73511378491775,1.09929124303387
"Dataset 1 with Ref 2","1st_Der","None","nipals",20,0.0380987270551038,1.70634386578569,1.0846134303824
"Dataset 1 with Ref 2","1st_Der","None","kernelpls",2,0.0498024337293514,1.73824154718275,1.11826338135932
"Dataset 1 with Ref 2","1st_Der","None","widekernelpls",2,-0.0371691219132548,1.68072347520921,1.09445202655612
"Dataset 1 with Ref 2","1st_Der","VIP","simpls",2,0.166680444750449,1.66815833859786,1.01908843920381
"Dataset 1 with Ref 2","1st_Der","VIP","nipals",19,-0.494000382413466,1.76406694331583,1.08443044702577
"Dataset 1 with Ref 2","1st_Der","VIP","kernelpls",2,-0.0955684034464381,1.91241065435415,1.2114409201837
"Dataset 1 with Ref 2","1st_Der","VIP","widekernelpls",2,-0.161060519124273,1.68925589028097,1.09131446212041
"Dataset 1 with Ref 2","1st_Der","SR","simpls",2,0.132153064202414,1.67171441037292,1.00138551757127
"Dataset 1 with Ref 2","1st_Der","SR","nipals",14,-0.173218805851596,1.72032081244179,1.07899402235478
"Dataset 1 with Ref 2","1st_Der","SR","kernelpls",2,0.135106198374537,1.58563094470812,1.0026814407071
"Dataset 1 with Ref 2","1st_Der","SR","widekernelpls",2,-0.03473535132064,1.7570734218781,1.13372723924457
"Dataset 1 with Ref 2","1st_Der","sMC","simpls",2,-0.212873506130622,1.6775332860175,1.0844712698272
"Dataset 1 with Ref 2","1st_Der","sMC","nipals",20,0.0564707504903075,1.73836056059829,1.10691417747504
"Dataset 1 with Ref 2","1st_Der","sMC","kernelpls",2,0.0354066228336067,1.71217947023416,1.03876648823376
"Dataset 1 with Ref 2","1st_Der","sMC","widekernelpls",2,-0.408987799730841,1.82592672537523,1.13680353496099
"Dataset 1 with Ref 2","1st_Der","UVE","simpls",1,0.200663261387784,1.58893579693308,0.906794640345875
"Dataset 1 with Ref 2","1st_Der","UVE","nipals",7,0.0927556355144535,1.68762433832305,0.969278397364086
"Dataset 1 with Ref 2","1st_Der","UVE","kernelpls",1,0.172397255473147,1.64415764335057,0.903882685925067
