"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Mtry","R2","RMSE","MAE"
"Dataset 1 with Ref 2","1st_Der","PCA","Conditional_Inference_Forest",10,0.193127027326656,1.65370666091446,0.915301715886147
"Dataset 1 with Ref 2","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.24827796377753,1.59618980357694,0.886894082002985
"Dataset 1 with Ref 2","2nd_Der","None","Conditional_Inference_Forest",29,0.171174046801054,1.67605228460285,0.913517313337417
"Dataset 1 with Ref 2","2nd_Der","VIP","Conditional_Inference_Forest",11,0.217925099938866,1.62809621031561,0.886414088138618
"Dataset 1 with Ref 2","2nd_Der","GA","Conditional_Inference_Forest",9,0.167052336834491,1.68021457834704,0.914905350517881
"Dataset 1 with Ref 2","2nd_Der","PCA","Conditional_Inference_Forest",10,0.138928218232956,1.70834495733415,0.950794447566923
"Dataset 1 with Ref 2","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.259745554060873,1.58396800055105,0.862329709333506
"Dataset 1 with Ref 2","EMSC","None","Conditional_Inference_Forest",443,0.328264352291124,1.50888134614223,0.777199050442521
"Dataset 1 with Ref 2","EMSC","VIP","Conditional_Inference_Forest",121,0.330057067680594,1.5068665639944,0.777065821108546
"Dataset 1 with Ref 2","EMSC","GA","Conditional_Inference_Forest",49,0.309422037340685,1.52989719761505,0.797579573844531
"Dataset 1 with Ref 2","EMSC","PCA","Conditional_Inference_Forest",6,0.232356115099084,1.61300527924421,0.892763351619305
"Dataset 1 with Ref 2","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.330841042256125,1.5059846300072,0.811304648049337
"Dataset 1 with Ref 2","RNV","None","Conditional_Inference_Forest",30,0.0981277448328498,1.74835010846301,0.974516337176966
"Dataset 1 with Ref 2","RNV","VIP","Conditional_Inference_Forest",13,0.103280208793855,1.74334872714348,0.979726669930171
"Dataset 1 with Ref 2","RNV","GA","Conditional_Inference_Forest",32,0.0975103915764985,1.74894839995025,0.977113787699539
"Dataset 1 with Ref 2","RNV","PCA","Conditional_Inference_Forest",4,0.130651460373935,1.71653576224821,0.962560577900659
"Dataset 1 with Ref 2","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.12125633168285,1.72578621579452,0.962810259868875
"Dataset 1 with Ref 3","Raw","None","Conditional_Inference_Forest",443,0.347133749722489,0.170281803167915,0.119200728029504
"Dataset 1 with Ref 3","Raw","VIP","Conditional_Inference_Forest",92,0.349912518913951,0.169919034844014,0.120811754671869
"Dataset 1 with Ref 3","Raw","GA","Conditional_Inference_Forest",38,0.341218814273295,0.171051436183057,0.12047968615793
"Dataset 1 with Ref 3","Raw","PCA","Conditional_Inference_Forest",4,0.342574484171978,0.170875346831104,0.120179849481964
"Dataset 1 with Ref 3","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.44810826847678,0.156560815535026,0.110985239516972
"Dataset 1 with Ref 3","SNV","None","Conditional_Inference_Forest",443,0.550232443181094,0.141335153125767,0.0999319141494174
"Dataset 1 with Ref 3","SNV","VIP","Conditional_Inference_Forest",18,0.570921118335594,0.138046277839044,0.0985733507482442
"Dataset 1 with Ref 3","SNV","GA","Conditional_Inference_Forest",48,0.559878023636576,0.139811423785815,0.0990245011266607
"Dataset 1 with Ref 3","SNV","PCA","Conditional_Inference_Forest",10,0.448727223792438,0.156472998189165,0.111394496828263
"Dataset 1 with Ref 3","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.438663008187559,0.157894849141505,0.112193731188249
"Dataset 1 with Ref 3","1st_Der","None","Conditional_Inference_Forest",297,0.52400750581467,0.145397246965953,0.103466160241036
"Dataset 1 with Ref 3","1st_Der","VIP","Conditional_Inference_Forest",63,0.579722392224422,0.136623138269294,0.0980934056313008
"Dataset 1 with Ref 3","1st_Der","GA","Conditional_Inference_Forest",52,0.563491204445548,0.139236350233595,0.099103881929173
"Dataset 1 with Ref 3","1st_Der","PCA","Conditional_Inference_Forest",10,0.428795603884412,0.159276572617766,0.110940837689461
"Dataset 1 with Ref 3","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.513807338423801,0.146946866945127,0.105353817544523
"Dataset 1 with Ref 3","2nd_Der","None","Conditional_Inference_Forest",29,0.435884157246639,0.158285189149113,0.11243544478185
"Dataset 1 with Ref 3","2nd_Der","VIP","Conditional_Inference_Forest",56,0.507217768528679,0.147939331225047,0.106222452088979
"Dataset 1 with Ref 3","2nd_Der","GA","Conditional_Inference_Forest",46,0.452367859461102,0.155955464184282,0.111676440009341
"Dataset 1 with Ref 3","2nd_Der","PCA","Conditional_Inference_Forest",10,0.362148180142994,0.16831236819289,0.118385917321471
"Dataset 1 with Ref 3","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.54599229712148,0.141999802990779,0.101830873440178
"Dataset 1 with Ref 3","EMSC","None","Conditional_Inference_Forest",295,0.621266650535551,0.129694902062384,0.0921360105567161
"Dataset 1 with Ref 3","EMSC","VIP","Conditional_Inference_Forest",164,0.622184737058717,0.129537610145155,0.091892245869614
"Dataset 1 with Ref 3","EMSC","GA","Conditional_Inference_Forest",47,0.618448495476122,0.130176537678611,0.0909928818025933
"Dataset 1 with Ref 3","EMSC","PCA","Conditional_Inference_Forest",6,0.468072309027004,0.153703030657556,0.109457034323789
"Dataset 1 with Ref 3","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.563428798888207,0.139246302852636,0.100495633365336
"Dataset 1 with Ref 3","RNV","None","Conditional_Inference_Forest",450,0.343748772142019,0.170722670564102,0.119887214287637
"Dataset 1 with Ref 3","RNV","VIP","Conditional_Inference_Forest",92,0.34974092184787,0.169941459275219,0.12106851264501
"Dataset 1 with Ref 3","RNV","GA","Conditional_Inference_Forest",35,0.345533945701696,0.170490307461332,0.120246972421583
"Dataset 1 with Ref 3","RNV","PCA","Conditional_Inference_Forest",4,0.339902150481933,0.171222285637973,0.121360463271397
"Dataset 1 with Ref 3","RNV","Kernel_PCA","Conditional_Inference_Forest",6,0.363000439848839,0.168199886114034,0.119825490739254
"Dataset 1 with Ref 4","Raw","None","Conditional_Inference_Forest",443,0.335375176219646,0.148855898243166,0.105859849261862
"Dataset 1 with Ref 4","Raw","VIP","Conditional_Inference_Forest",92,0.34752128184017,0.147489445923696,0.106806927839453
"Dataset 1 with Ref 4","Raw","GA","Conditional_Inference_Forest",9,0.325311551576931,0.149978638201732,0.10758676998242
"Dataset 1 with Ref 4","Raw","PCA","Conditional_Inference_Forest",4,0.333751791885076,0.14903758191146,0.105994782982449
"Dataset 1 with Ref 4","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.433120701059219,0.137474790841106,0.0984462546104312
"Dataset 1 with Ref 4","SNV","None","Conditional_Inference_Forest",295,0.542764416849124,0.12346611394472,0.0889117718247953
"Dataset 1 with Ref 4","SNV","VIP","Conditional_Inference_Forest",116,0.557796581650249,0.121419605192361,0.0878763205488834
"Dataset 1 with Ref 4","SNV","GA","Conditional_Inference_Forest",48,0.541422356842395,0.1236471776345,0.0894759159269766
"Dataset 1 with Ref 4","SNV","PCA","Conditional_Inference_Forest",10,0.432911673031411,0.13750013436304,0.0978052159167647
"Dataset 1 with Ref 4","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.423661073124843,0.138617079784512,0.0983531024104155
"Dataset 1 with Ref 4","1st_Der","None","Conditional_Inference_Forest",297,0.528257858514441,0.12540940453731,0.0885381072954648
"Dataset 1 with Ref 4","1st_Der","VIP","Conditional_Inference_Forest",63,0.585097557128311,0.117611764219362,0.0840779169182312
"Dataset 1 with Ref 4","1st_Der","GA","Conditional_Inference_Forest",47,0.550010969919766,0.122483822640319,0.0868882053220906
"Dataset 1 with Ref 4","1st_Der","PCA","Conditional_Inference_Forest",10,0.432373362773337,0.137565380086007,0.0977256384931584
"Dataset 1 with Ref 4","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.506091547336989,0.128321964002954,0.0925762751493669
"Dataset 1 with Ref 4","2nd_Der","None","Conditional_Inference_Forest",29,0.436473416763425,0.137067651778206,0.0987531785446128
"Dataset 1 with Ref 4","2nd_Der","VIP","Conditional_Inference_Forest",56,0.496857246617298,0.129515987049483,0.0937498012527849
"Dataset 1 with Ref 4","2nd_Der","GA","Conditional_Inference_Forest",48,0.440179110842427,0.136616236899976,0.0982860973390744
"Dataset 1 with Ref 4","2nd_Der","PCA","Conditional_Inference_Forest",10,0.361755853403267,0.145871748580867,0.103544133399911
"Dataset 1 with Ref 4","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.549028221762706,0.122617498234643,0.0877029333120239
"Dataset 1 with Ref 4","EMSC","None","Conditional_Inference_Forest",443,0.612960941130612,0.113593940747615,0.0806292078375726
"Dataset 1 with Ref 4","EMSC","VIP","Conditional_Inference_Forest",235,0.620492989580536,0.112483201834959,0.079883646606049
"Dataset 1 with Ref 4","EMSC","GA","Conditional_Inference_Forest",33,0.618034633070904,0.1128469335112,0.0806357590883647
"Dataset 1 with Ref 4","EMSC","PCA","Conditional_Inference_Forest",6,0.449839517308211,0.13543236574882,0.0960380252204278
"Dataset 1 with Ref 4","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.558324931181283,0.121347046769436,0.0873426987155001
"Dataset 1 with Ref 4","RNV","None","Conditional_Inference_Forest",300,0.34016141384402,0.148318943412586,0.105962868586967
"Dataset 1 with Ref 4","RNV","VIP","Conditional_Inference_Forest",61,0.356104984532366,0.146516083209103,0.105845955136731
"Dataset 1 with Ref 4","RNV","GA","Conditional_Inference_Forest",45,0.323588015192279,0.150170081204945,0.107672684159422
"Dataset 1 with Ref 4","RNV","PCA","Conditional_Inference_Forest",4,0.333769994085767,0.149035546010671,0.105883491237113
"Dataset 1 with Ref 4","RNV","Kernel_PCA","Conditional_Inference_Forest",10,0.362008199597183,0.145842908661275,0.105154839307404
"Dataset 2 with Ref 1","Raw","None","Conditional_Inference_Forest",43,0.192805744677732,1.6585544685142,1.02862152097782
"Dataset 2 with Ref 1","Raw","VIP","Conditional_Inference_Forest",7,0.181801254295984,1.66982174471676,1.03660940740182
"Dataset 2 with Ref 1","Raw","GA","Conditional_Inference_Forest",2,0.175410012443281,1.67633084444612,1.04458020135195
"Dataset 2 with Ref 1","Raw","PCA","Conditional_Inference_Forest",10,0.248159770411479,1.60067620030068,0.986514261688359
"Dataset 2 with Ref 1","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.251875981090617,1.59671537291582,0.977724333355476
"Dataset 2 with Ref 1","SNV","None","Conditional_Inference_Forest",9,0.521364133411131,1.27715417435523,0.831397897163198
"Dataset 2 with Ref 1","SNV","VIP","Conditional_Inference_Forest",7,0.521402914875782,1.27710243260721,0.837531513843477
"Dataset 2 with Ref 1","SNV","GA","Conditional_Inference_Forest",2,0.492818980759256,1.31468650068474,0.853363790160223
"Dataset 2 with Ref 1","SNV","PCA","Conditional_Inference_Forest",10,0.344643693742308,1.49444332279757,0.907521426974901
"Dataset 2 with Ref 1","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.365434313297291,1.47054730564059,0.914750988900044
"Dataset 2 with Ref 1","1st_Der","None","Conditional_Inference_Forest",31,0.38530952085352,1.44733462086806,0.912678658053148
"Dataset 2 with Ref 1","1st_Der","VIP","Conditional_Inference_Forest",24,0.385200246643795,1.44746326229329,0.920132773982977
"Dataset 2 with Ref 1","1st_Der","GA","Conditional_Inference_Forest",1,0.138945172174924,1.71299506017587,1.06318819637283
"Dataset 2 with Ref 1","1st_Der","PCA","Conditional_Inference_Forest",10,0.34987878499302,1.48846242832623,0.923912597550574
"Dataset 2 with Ref 1","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.35357311792024,1.48422728741069,0.926724417148277
"Dataset 2 with Ref 1","2nd_Der","None","Conditional_Inference_Forest",9,0.295774830257437,1.54916072879575,0.952471336731691
"Dataset 2 with Ref 1","2nd_Der","VIP","Conditional_Inference_Forest",5,0.324649229924032,1.51706925575405,0.93674820889766
"Dataset 2 with Ref 1","2nd_Der","GA","Conditional_Inference_Forest",1,0.186585563148917,1.66493255621616,1.00569113130026
"Dataset 2 with Ref 1","2nd_Der","PCA","Conditional_Inference_Forest",10,0.348955312566358,1.48951920527792,0.913214906775889
"Dataset 2 with Ref 1","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.319037203935927,1.52335948190433,0.930368030422709
"Dataset 2 with Ref 1","EMSC","None","Conditional_Inference_Forest",29,0.322100193087272,1.51992956443018,0.9442782192938
"Dataset 2 with Ref 1","EMSC","VIP","Conditional_Inference_Forest",7,0.25765693351725,1.59053428775886,0.961849630580454
"Dataset 2 with Ref 1","EMSC","GA","Conditional_Inference_Forest",1,0.254212612412945,1.59421989566602,0.96233972988997
"Dataset 2 with Ref 1","EMSC","PCA","Conditional_Inference_Forest",10,0.239975825286369,1.60936447588915,0.986925476551175
"Dataset 2 with Ref 1","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.309470480331435,1.53402286196827,0.926494649083114
"Dataset 2 with Ref 1","RNV","None","Conditional_Inference_Forest",50,0.201224047215614,1.64988319293748,1.02561368098661
"Dataset 2 with Ref 1","RNV","VIP","Conditional_Inference_Forest",27,0.180860296926057,1.67078164572016,1.04031306132302
"Dataset 2 with Ref 1","RNV","GA","Conditional_Inference_Forest",3,0.167158312654416,1.684697514784,1.04038049402892
"Dataset 2 with Ref 1","RNV","PCA","Conditional_Inference_Forest",10,0.225326736391406,1.6248003023164,0.991683048260097
"Dataset 2 with Ref 1","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.111352614723908,1.74022515140478,1.06622450398795
"Dataset 2 with Ref 2","Raw","None","Conditional_Inference_Forest",9,0.134035647158087,1.71319145223968,0.95836364625587
"Dataset 2 with Ref 2","Raw","VIP","Conditional_Inference_Forest",6,0.094608083421389,1.75175835629223,0.980444341965791
"Dataset 2 with Ref 2","Raw","GA","Conditional_Inference_Forest",6,0.133275822349688,1.71394289191732,0.955072597276434
"Dataset 2 with Ref 2","Raw","PCA","Conditional_Inference_Forest",10,0.171664467010856,1.67555634722497,0.932885826832805
"Dataset 2 with Ref 2","Raw","Kernel_PCA","Conditional_Inference_Forest",4,0.178031699075605,1.6691041085173,0.915352580109966
"Dataset 2 with Ref 2","SNV","None","Conditional_Inference_Forest",9,0.395938145232328,1.43085820220233,0.74107234861308
"Dataset 2 with Ref 2","SNV","VIP","Conditional_Inference_Forest",6,0.389254514454693,1.43875227784274,0.73928766825201
"Dataset 2 with Ref 2","SNV","GA","Conditional_Inference_Forest",2,0.388813776438959,1.43927131439735,0.748270491818781
"Dataset 2 with Ref 2","SNV","PCA","Conditional_Inference_Forest",10,0.286619037492564,1.55495078953654,0.837361748219627
"Dataset 2 with Ref 2","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.294903685786198,1.54589543142257,0.849215066721614
"Dataset 2 with Ref 2","1st_Der","None","Conditional_Inference_Forest",31,0.289568719344975,1.55173276062667,0.828680149919534
"Dataset 2 with Ref 2","1st_Der","VIP","Conditional_Inference_Forest",18,0.292649200748715,1.54836489310379,0.821439446696686
"Dataset 2 with Ref 2","1st_Der","GA","Conditional_Inference_Forest",6,0.289770673867187,1.55151218917163,0.821240075690487
"Dataset 2 with Ref 2","1st_Der","PCA","Conditional_Inference_Forest",10,0.244802481907416,1.59987542883495,0.880838899353348
"Dataset 2 with Ref 2","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.240744963234547,1.60416756977512,0.88205879825706
"Dataset 2 with Ref 2","2nd_Der","None","Conditional_Inference_Forest",9,0.214128500061093,1.63204324038713,0.881005930147583
"Dataset 2 with Ref 2","2nd_Der","VIP","Conditional_Inference_Forest",5,0.246499930804354,1.59807640642686,0.870133566095521
"Dataset 2 with Ref 2","2nd_Der","GA","Conditional_Inference_Forest",6,0.245274810183204,1.5993750401439,0.852489072917349
"Dataset 2 with Ref 2","2nd_Der","PCA","Conditional_Inference_Forest",6,0.237982504564725,1.60708320608349,0.882545314446015
"Dataset 2 with Ref 2","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.221647806004016,1.62421668841181,0.87086127353653
"Dataset 2 with Ref 2","EMSC","None","Conditional_Inference_Forest",29,0.252631943881847,1.59156051851218,0.879509435160174
"Dataset 2 with Ref 2","EMSC","VIP","Conditional_Inference_Forest",7,0.225996471577381,1.61967307150931,0.891686102811896
"Dataset 2 with Ref 2","EMSC","GA","Conditional_Inference_Forest",3,0.222951451013853,1.62285593595433,0.876195898862552
"Dataset 2 with Ref 2","EMSC","PCA","Conditional_Inference_Forest",10,0.210071022122179,1.63625096014076,0.888688338985488
"Dataset 2 with Ref 2","EMSC","Kernel_PCA","Conditional_Inference_Forest",6,0.258086504788649,1.58574199206632,0.873898966621741
"Dataset 2 with Ref 2","RNV","None","Conditional_Inference_Forest",50,0.138169203089664,1.7090977250487,0.953715247446141
"Dataset 2 with Ref 2","RNV","VIP","Conditional_Inference_Forest",21,0.102756009384559,1.74385821119069,0.974355730836353
"Dataset 2 with Ref 2","RNV","GA","Conditional_Inference_Forest",5,0.139901744652309,1.70737895813965,0.952969601351229
"Dataset 2 with Ref 2","RNV","PCA","Conditional_Inference_Forest",10,0.17390397707245,1.67328977475975,0.927579390465914
"Dataset 2 with Ref 2","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.0816544686959866,1.76424522226843,0.988283603154214
"Dataset 2 with Ref 3","Raw","None","Conditional_Inference_Forest",43,0.366138189232095,0.167785112971018,0.119875009684899
"Dataset 2 with Ref 3","Raw","VIP","Conditional_Inference_Forest",25,0.360148108509706,0.168576044883095,0.120204655743632
"Dataset 2 with Ref 3","Raw","GA","Conditional_Inference_Forest",1,0.344056196489724,0.17068267791229,0.120513327544904
"Dataset 2 with Ref 3","Raw","PCA","Conditional_Inference_Forest",10,0.457808591850247,0.155178820602742,0.109766452449704
"Dataset 2 with Ref 3","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.437265588079799,0.158091262605752,0.112020273755586
"Dataset 2 with Ref 3","SNV","None","Conditional_Inference_Forest",9,0.651272270907451,0.124451281223645,0.0883890871550158
"Dataset 2 with Ref 3","SNV","VIP","Conditional_Inference_Forest",7,0.650153846941109,0.124650688758724,0.0886999117015084
"Dataset 2 with Ref 3","SNV","GA","Conditional_Inference_Forest",2,0.662129202842652,0.122498694238812,0.0859834127553938
"Dataset 2 with Ref 3","SNV","PCA","Conditional_Inference_Forest",10,0.562672894338407,0.139366800254927,0.0965605851947277
"Dataset 2 with Ref 3","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.551134352007891,0.141193373901967,0.0991905602927569
"Dataset 2 with Ref 3","1st_Der","None","Conditional_Inference_Forest",46,0.592677618189546,0.134500924189784,0.0951253502450865
"Dataset 2 with Ref 3","1st_Der","VIP","Conditional_Inference_Forest",23,0.598962668782016,0.133459204524843,0.0942731952334648
"Dataset 2 with Ref 3","1st_Der","GA","Conditional_Inference_Forest",2,0.459880216124399,0.154882080495905,0.110444601221628
"Dataset 2 with Ref 3","1st_Der","PCA","Conditional_Inference_Forest",10,0.532255770037742,0.144131979278142,0.101851391407969
"Dataset 2 with Ref 3","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.522445276405484,0.145635651761252,0.1036075204962
"Dataset 2 with Ref 3","2nd_Der","None","Conditional_Inference_Forest",31,0.520629723594119,0.145912225706404,0.102022618279594
"Dataset 2 with Ref 3","2nd_Der","VIP","Conditional_Inference_Forest",5,0.55197429302142,0.141061207809551,0.098193409445686
"Dataset 2 with Ref 3","2nd_Der","GA","Conditional_Inference_Forest",1,0.335402195687712,0.171804914312571,0.122231878051085
"Dataset 2 with Ref 3","2nd_Der","PCA","Conditional_Inference_Forest",10,0.505515846022764,0.148194580137791,0.1039897587627
"Dataset 2 with Ref 3","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.56394593510103,0.139163806981808,0.0980863179411134
"Dataset 2 with Ref 3","EMSC","None","Conditional_Inference_Forest",9,0.526433151863762,0.145026303384381,0.100913978840391
"Dataset 2 with Ref 3","EMSC","VIP","Conditional_Inference_Forest",7,0.485566895028298,0.151154327540198,0.104566498302152
"Dataset 2 with Ref 3","EMSC","GA","Conditional_Inference_Forest",1,0.481076027670272,0.151812662893066,0.104768470732558
"Dataset 2 with Ref 3","EMSC","PCA","Conditional_Inference_Forest",10,0.494199201035981,0.149880760029986,0.105979166095592
"Dataset 2 with Ref 3","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.539907416407497,0.142948218582972,0.101426540257702
"Dataset 2 with Ref 3","RNV","None","Conditional_Inference_Forest",33,0.37808869277391,0.166195919896399,0.118071977008495
"Dataset 2 with Ref 3","RNV","VIP","Conditional_Inference_Forest",26,0.361143987034543,0.168444806201555,0.12025188468407
"Dataset 2 with Ref 3","RNV","GA","Conditional_Inference_Forest",3,0.33228783187713,0.172206990297837,0.122548910186861
"Dataset 2 with Ref 3","RNV","PCA","Conditional_Inference_Forest",10,0.431534156946067,0.158894300164898,0.111999297073995
"Dataset 2 with Ref 3","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.323771461258105,0.173301722295149,0.123075167393488
"Dataset 2 with Ref 4","Raw","None","Conditional_Inference_Forest",29,0.364491109451777,0.145558839337848,0.104735266320757
"Dataset 2 with Ref 4","Raw","VIP","Conditional_Inference_Forest",20,0.357563972248205,0.146349995268304,0.105232827473326
"Dataset 2 with Ref 4","Raw","GA","Conditional_Inference_Forest",2,0.342663445206263,0.148037472220131,0.106702464820971
"Dataset 2 with Ref 4","Raw","PCA","Conditional_Inference_Forest",10,0.453639808894214,0.134963798498709,0.095420485415241
"Dataset 2 with Ref 4","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.424133308968285,0.1385602786862,0.0984746244946768
"Dataset 2 with Ref 4","SNV","None","Conditional_Inference_Forest",29,0.653702260412636,0.107449054196352,0.075353288243523
"Dataset 2 with Ref 4","SNV","VIP","Conditional_Inference_Forest",20,0.657503953548497,0.106857633016918,0.0749906787687317
"Dataset 2 with Ref 4","SNV","GA","Conditional_Inference_Forest",2,0.63299962254536,0.110614236013552,0.0782531063549884
