"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 2 with Ref 4","SNV","None","XGBoost",3,0.05,100,0.641790027866621,0.109281489205033,0.0757069804891744
"Dataset 2 with Ref 4","SNV","VIP","XGBoost",3,0.05,100,0.666784011362461,0.105400017893545,0.0721344226179537
"Dataset 2 with Ref 4","SNV","GA","XGBoost",3,0.05,100,0.584159968598303,0.117744577626455,0.0813554829731692
"Dataset 2 with Ref 4","SNV","PCA","XGBoost",3,0.1,100,0.612109483087931,0.113718821345771,0.080182387490704
"Dataset 2 with Ref 4","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.568814777688242,0.119897382693477,0.0815362771553103
"Dataset 2 with Ref 4","1st_Der","None","XGBoost",3,0.05,100,0.527370996224587,0.125527232305843,0.0904480044881092
"Dataset 2 with Ref 4","1st_Der","VIP","XGBoost",3,0.05,100,0.517076078659064,0.126886999542457,0.0896875702481102
"Dataset 2 with Ref 4","1st_Der","GA","XGBoost",3,0.05,100,0.386065899713595,0.143066728699581,0.101428560514923
"Dataset 2 with Ref 4","1st_Der","PCA","XGBoost",3,0.05,100,0.591427824079531,0.116711100031172,0.0860451928170091
"Dataset 2 with Ref 4","1st_Der","Kernel_PCA","XGBoost",3,0.05,200,0.556246293687886,0.121632256941551,0.0882609958759135
"Dataset 2 with Ref 4","2nd_Der","None","XGBoost",3,0.05,100,0.526780979333568,0.12560556021903,0.0892492993370787
"Dataset 2 with Ref 4","2nd_Der","VIP","XGBoost",3,0.1,100,0.574280125951598,0.11913509930183,0.0846916700942906
"Dataset 2 with Ref 4","2nd_Der","GA","XGBoost",3,0.05,100,0.518854175244412,0.126653189007109,0.0895069040382478
"Dataset 2 with Ref 4","2nd_Der","PCA","XGBoost",3,0.05,100,0.568826194913825,0.119895795319356,0.0811848129807771
"Dataset 2 with Ref 4","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.602697612183934,0.115090203044975,0.0831953730447107
"Dataset 2 with Ref 4","EMSC","None","XGBoost",3,0.05,100,0.584878487514168,0.117642809786974,0.081624821008746
"Dataset 2 with Ref 4","EMSC","VIP","XGBoost",3,0.05,100,0.625496141739063,0.111739292396229,0.0783355575693022
"Dataset 2 with Ref 4","EMSC","GA","XGBoost",3,0.05,100,0.560419516650785,0.121058968678172,0.0848396740928692
"Dataset 2 with Ref 4","EMSC","PCA","XGBoost",3,0.05,100,0.45005725573496,0.135405562889044,0.0953622104183629
"Dataset 2 with Ref 4","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.551251114765103,0.122314926877329,0.0847230158865694
"Dataset 2 with Ref 4","RNV","None","XGBoost",3,0.05,100,0.387524826532872,0.142896638753821,0.102221425793529
"Dataset 2 with Ref 4","RNV","VIP","XGBoost",3,0.1,100,0.40552819460098,0.140780790510851,0.102142049171955
"Dataset 2 with Ref 4","RNV","GA","XGBoost",3,0.05,100,0.477917797883995,0.131931108910197,0.0961939350229682
"Dataset 2 with Ref 4","RNV","PCA","XGBoost",3,0.05,100,0.503461828056427,0.128663123138991,0.0957190213830832
"Dataset 2 with Ref 4","RNV","Kernel_PCA","XGBoost",3,0.05,100,0.137788705317431,0.169544857832218,0.116057239735476
"Dataset 3 with Ref 1","Raw","None","XGBoost",6,0.05,100,0.159574733816582,1.69235028042748,1.10818872551647
"Dataset 3 with Ref 1","Raw","VIP","XGBoost",3,0.1,200,0.150940481385347,1.70102139104664,1.09419277847754
"Dataset 3 with Ref 1","Raw","GA","XGBoost",3,0.05,100,0.130781864776114,1.7210960065619,1.10356772830866
"Dataset 3 with Ref 1","Raw","PCA","XGBoost",3,0.05,200,0.111307215170988,1.74026960347662,1.17029184442651
"Dataset 3 with Ref 1","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.167684164133723,1.68416557661609,1.09790923574837
"Dataset 3 with Ref 1","SNV","None","XGBoost",3,0.05,100,0.336726802031324,1.5034428765812,0.94208127596836
"Dataset 3 with Ref 1","SNV","VIP","XGBoost",3,0.05,100,0.327258017308162,1.5141363054011,0.954116673195953
"Dataset 3 with Ref 1","SNV","GA","XGBoost",3,0.05,100,0.291330489305045,1.5540413906631,0.964446740239444
"Dataset 3 with Ref 1","SNV","PCA","XGBoost",3,0.1,200,0.199962258435281,1.65118580013989,0.993630826919395
"Dataset 3 with Ref 1","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.335625971539551,1.50468998683857,0.896452307014487
"Dataset 3 with Ref 1","1st_Der","None","XGBoost",3,0.05,100,0.315548012798671,1.52725727268949,0.926125568117188
"Dataset 3 with Ref 1","1st_Der","VIP","XGBoost",3,0.05,100,0.362948046720406,1.47342533577588,0.876422810894333
"Dataset 3 with Ref 1","1st_Der","GA","XGBoost",3,0.1,100,0.318169059985107,1.52433022075413,0.959858563161293
"Dataset 3 with Ref 1","1st_Der","PCA","XGBoost",3,0.1,200,0.296089321768529,1.54881477957057,0.971135800754954
"Dataset 3 with Ref 1","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.362371604809033,1.47409180580651,0.881887095873842
"Dataset 3 with Ref 1","2nd_Der","None","XGBoost",3,0.1,100,0.317677354086446,1.52487976099595,0.956582548263524
"Dataset 3 with Ref 1","2nd_Der","VIP","XGBoost",3,0.05,100,0.475319351496048,1.33717494605423,0.849152759239639
"Dataset 3 with Ref 1","2nd_Der","GA","XGBoost",3,0.05,100,0.0664546165815119,1.78364501885479,1.18814215000664
"Dataset 3 with Ref 1","2nd_Der","PCA","XGBoost",3,0.1,100,0.526192648642289,1.27069583050346,0.815520745405805
"Dataset 3 with Ref 1","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.243705876067722,1.60541039458941,1.00582543887492
"Dataset 3 with Ref 1","EMSC","None","XGBoost",3,0.05,100,0.261699474392432,1.58619762881435,0.920168213587331
"Dataset 3 with Ref 1","EMSC","VIP","XGBoost",3,0.05,100,0.211407729546516,1.63933218507905,0.957538245529402
"Dataset 3 with Ref 1","EMSC","GA","XGBoost",3,0.05,100,0.396054629933152,1.43462876910909,0.858141982177999
"Dataset 3 with Ref 1","EMSC","PCA","XGBoost",3,0.05,100,0.20821651427334,1.64264579859886,1.01677615739291
"Dataset 3 with Ref 1","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.257007900719085,1.59122944032836,0.973958932052428
"Dataset 3 with Ref 1","RNV","None","XGBoost",3,0.05,100,0.188771330035545,1.66269408938187,1.05883699329922
"Dataset 3 with Ref 1","RNV","VIP","XGBoost",3,0.1,200,0.168379999644327,1.6834614285029,1.09168238536228
"Dataset 3 with Ref 1","RNV","GA","XGBoost",6,0.05,100,0.185581412997227,1.66595990866664,1.0654219889036
"Dataset 3 with Ref 1","RNV","PCA","XGBoost",3,0.05,100,0.122147401185056,1.72962322039836,1.09606861443079
"Dataset 3 with Ref 1","RNV","Kernel_PCA","XGBoost",3,0.05,100,-0.117031587249335,1.95107262110017,1.29324010370098
"Dataset 3 with Ref 2","Raw","None","XGBoost",3,0.05,200,0.0469594541153181,1.79726277901509,0.917659421135053
"Dataset 3 with Ref 2","Raw","VIP","XGBoost",3,0.05,100,-0.00654522650448852,1.84702399835441,0.979690965672989
"Dataset 3 with Ref 2","Raw","GA","XGBoost",3,0.05,100,-0.0257144715796493,1.86452895869779,0.993280659107037
"Dataset 3 with Ref 2","Raw","PCA","XGBoost",3,0.1,100,-0.136921664450771,1.96300390064044,1.05548953455325
"Dataset 3 with Ref 2","Raw","Kernel_PCA","XGBoost",3,0.05,100,-0.10869960212117,1.93848675206693,1.06397133484899
"Dataset 3 with Ref 2","SNV","None","XGBoost",3,0.05,100,0.113949746991764,1.73294615355608,0.882672592289455
"Dataset 3 with Ref 2","SNV","VIP","XGBoost",3,0.05,100,0.0801378932127306,1.76570137751185,0.87192024470348
"Dataset 3 with Ref 2","SNV","GA","XGBoost",3,0.05,100,-0.0307424643938952,1.86909327840375,0.90054070433589
"Dataset 3 with Ref 2","SNV","PCA","XGBoost",3,0.1,200,0.0391747182675741,1.80458815513586,0.913388039793039
"Dataset 3 with Ref 2","SNV","Kernel_PCA","XGBoost",3,0.05,200,0.315153548235257,1.52353521329965,0.766949739261174
"Dataset 3 with Ref 2","1st_Der","None","XGBoost",3,0.05,100,0.216894718941241,1.62916836287817,0.793945762585086
"Dataset 3 with Ref 2","1st_Der","VIP","XGBoost",3,0.05,100,0.264988193674426,1.57834903486337,0.754901278836555
"Dataset 3 with Ref 2","1st_Der","GA","XGBoost",3,0.1,100,0.236677481312462,1.60845875440587,0.83549564739906
"Dataset 3 with Ref 2","1st_Der","PCA","XGBoost",3,0.1,100,0.135190377907557,1.7120488331631,0.880346468267445
"Dataset 3 with Ref 2","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.118858524356505,1.7281391680488,0.837732172487588
"Dataset 3 with Ref 2","2nd_Der","None","XGBoost",3,0.05,100,-0.0982231547638439,1.92930633132383,1.02080356846537
"Dataset 3 with Ref 2","2nd_Der","VIP","XGBoost",3,0.05,200,0.129061350714276,1.71810488728946,0.852914817448362
"Dataset 3 with Ref 2","2nd_Der","GA","XGBoost",3,0.05,100,0.0118381705233287,1.83007938320224,0.954533590386881
"Dataset 3 with Ref 2","2nd_Der","PCA","XGBoost",3,0.05,100,0.14190962621455,1.70538487326542,0.834422677168312
"Dataset 3 with Ref 2","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.000305752116084634,1.84072744694908,0.926735686767537
"Dataset 3 with Ref 2","EMSC","None","XGBoost",3,0.05,100,0.134542657385694,1.71268985378377,0.787736862195756
"Dataset 3 with Ref 2","EMSC","VIP","XGBoost",3,0.05,100,-0.0247435447483981,1.86364628137734,0.906831779328582
"Dataset 3 with Ref 2","EMSC","GA","XGBoost",3,0.1,100,0.0837481667893327,1.76223295974348,0.852319228338528
"Dataset 3 with Ref 2","EMSC","PCA","XGBoost",3,0.05,100,0.0796908720331656,1.76613036031055,0.876381199804897
"Dataset 3 with Ref 2","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.0608710377028787,1.7840971874504,0.921208367030824
"Dataset 3 with Ref 2","RNV","None","XGBoost",3,0.1,100,-0.0869818880898769,1.91940687180984,1.01261350196143
"Dataset 3 with Ref 2","RNV","VIP","XGBoost",3,0.05,100,0.0317685080443715,1.81152984528224,0.942912976994332
"Dataset 3 with Ref 2","RNV","GA","XGBoost",3,0.1,100,-0.0762854083955808,1.90993953125661,0.996025535435798
"Dataset 3 with Ref 2","RNV","PCA","XGBoost",3,0.05,100,0.0397610961113325,1.8040374140036,0.956837090005082
"Dataset 3 with Ref 2","RNV","Kernel_PCA","XGBoost",3,0.1,100,-0.224979756827413,2.03760664106727,1.08806283658788
"Dataset 3 with Ref 3","Raw","None","XGBoost",3,0.1,100,0.376119539407846,0.166458824434544,0.117173928907301
"Dataset 3 with Ref 3","Raw","VIP","XGBoost",3,0.05,200,0.348410335372524,0.17011524097101,0.121825940858002
"Dataset 3 with Ref 3","Raw","GA","XGBoost",3,0.05,100,0.373027346596794,0.166870831699663,0.1203990020079
"Dataset 3 with Ref 3","Raw","PCA","XGBoost",3,0.05,100,0.457414975713795,0.15523513817359,0.111619513623588
"Dataset 3 with Ref 3","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.414898720116373,0.161202456379537,0.11722674422055
"Dataset 3 with Ref 3","SNV","None","XGBoost",3,0.05,100,0.625623991228978,0.128946671494713,0.0875156676110506
"Dataset 3 with Ref 3","SNV","VIP","XGBoost",3,0.05,100,0.589246609880987,0.135066208709609,0.0909777052446859
"Dataset 3 with Ref 3","SNV","GA","XGBoost",3,0.05,100,0.662926559962939,0.122354063655063,0.0856310101258939
"Dataset 3 with Ref 3","SNV","PCA","XGBoost",3,0.1,200,0.434325191019281,0.158503753312671,0.109109256511954
"Dataset 3 with Ref 3","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.480385236608769,0.151913675718031,0.1048453835823
"Dataset 3 with Ref 3","1st_Der","None","XGBoost",6,0.05,100,0.52328336070233,0.145507804057239,0.103888897532241
"Dataset 3 with Ref 3","1st_Der","VIP","XGBoost",6,0.05,100,0.536260374360194,0.143513658156015,0.102990682911079
"Dataset 3 with Ref 3","1st_Der","GA","XGBoost",3,0.05,100,0.582533045130735,0.136165530749558,0.099821847429717
"Dataset 3 with Ref 3","1st_Der","PCA","XGBoost",3,0.1,200,0.522245558185973,0.145666101729854,0.104782648695374
"Dataset 3 with Ref 3","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.553251816632801,0.140859949635493,0.0986617359578898
"Dataset 3 with Ref 3","2nd_Der","None","XGBoost",3,0.1,100,0.549020751582716,0.141525406322591,0.10072857316177
"Dataset 3 with Ref 3","2nd_Der","VIP","XGBoost",3,0.05,100,0.587940007873593,0.135280860204859,0.093920357985157
"Dataset 3 with Ref 3","2nd_Der","GA","XGBoost",3,0.1,100,0.468092578806272,0.1537001021052,0.112009026354386
"Dataset 3 with Ref 3","2nd_Der","PCA","XGBoost",3,0.1,100,0.611750291059118,0.131314202542034,0.0906127991342043
"Dataset 3 with Ref 3","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.528503987495578,0.144708867021223,0.100731030189842
"Dataset 3 with Ref 3","EMSC","None","XGBoost",3,0.05,100,0.668550498435105,0.121329055364063,0.0854402688610695
"Dataset 3 with Ref 3","EMSC","VIP","XGBoost",3,0.05,100,0.631151384169043,0.127991229270463,0.0890683777099777
"Dataset 3 with Ref 3","EMSC","GA","XGBoost",3,0.05,100,0.658622499507514,0.123132749816505,0.0865705960173973
"Dataset 3 with Ref 3","EMSC","PCA","XGBoost",3,0.1,100,0.518983221217136,0.146162594678368,0.102028184522745
"Dataset 3 with Ref 3","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.558276836961248,0.140065513518853,0.0919493274173874
"Dataset 3 with Ref 3","RNV","None","XGBoost",3,0.05,100,0.408922561005616,0.162023616836943,0.115457315229726
"Dataset 3 with Ref 3","RNV","VIP","XGBoost",3,0.1,200,0.360644674978073,0.168510619227863,0.120894360036006
"Dataset 3 with Ref 3","RNV","GA","XGBoost",6,0.05,100,0.354341156917304,0.169339269892706,0.121565065948937
"Dataset 3 with Ref 3","RNV","PCA","XGBoost",3,0.05,100,0.373320753170999,0.166831781568648,0.119303064965883
"Dataset 3 with Ref 3","RNV","Kernel_PCA","XGBoost",3,0.05,100,0.225890737341752,0.18542029308684,0.13245401564763
"Dataset 3 with Ref 4","Raw","None","XGBoost",3,0.05,200,0.391955123856503,0.142378884232099,0.102337802351748
"Dataset 3 with Ref 4","Raw","VIP","XGBoost",3,0.05,100,0.342894202622667,0.148011485727426,0.105997638819059
"Dataset 3 with Ref 4","Raw","GA","XGBoost",3,0.05,100,0.300839246908551,0.152674423720732,0.109979558121148
"Dataset 3 with Ref 4","Raw","PCA","XGBoost",3,0.05,100,0.425505665222001,0.138395077700578,0.100800624205886
"Dataset 3 with Ref 4","Raw","Kernel_PCA","XGBoost",6,0.05,100,0.438391260867643,0.136834212543502,0.0979138925788357
"Dataset 3 with Ref 4","SNV","None","XGBoost",3,0.05,100,0.608748442001318,0.114210441041555,0.0777149185700247
"Dataset 3 with Ref 4","SNV","VIP","XGBoost",3,0.1,100,0.587187476703368,0.117315177099418,0.0802745096142609
"Dataset 3 with Ref 4","SNV","GA","XGBoost",3,0.05,100,0.63510806784516,0.110296034700166,0.0768731272402289
"Dataset 3 with Ref 4","SNV","PCA","XGBoost",3,0.05,200,0.504242363261581,0.128561957105597,0.0876935724860814
"Dataset 3 with Ref 4","SNV","Kernel_PCA","XGBoost",3,0.1,200,0.490673849831165,0.130309403251671,0.0892760071148244
"Dataset 3 with Ref 4","1st_Der","None","XGBoost",3,0.05,100,0.550164008385504,0.122462992876642,0.0862512124561747
"Dataset 3 with Ref 4","1st_Der","VIP","XGBoost",3,0.05,100,0.528494919227086,0.125377890097445,0.0882719963561103
"Dataset 3 with Ref 4","1st_Der","GA","XGBoost",3,0.05,100,0.492894970039654,0.130024959692631,0.0955146582971639
"Dataset 3 with Ref 4","1st_Der","PCA","XGBoost",3,0.1,100,0.506500912590461,0.128268774548257,0.090922564441781
"Dataset 3 with Ref 4","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.570259612464863,0.119696335369583,0.0847279740259463
"Dataset 3 with Ref 4","2nd_Der","None","XGBoost",3,0.05,100,0.541948682983798,0.123576200094599,0.0890501351481911
"Dataset 3 with Ref 4","2nd_Der","VIP","XGBoost",3,0.05,100,0.587145415144428,0.117321153581805,0.0848999375853651
"Dataset 3 with Ref 4","2nd_Der","GA","XGBoost",3,0.1,100,0.451495989743985,0.135228326101972,0.0957658503185871
"Dataset 3 with Ref 4","2nd_Der","PCA","XGBoost",3,0.05,100,0.613069923422629,0.113577946755109,0.0797809155424386
"Dataset 3 with Ref 4","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.517395673601398,0.126845006225243,0.0884405277748267
"Dataset 3 with Ref 4","EMSC","None","XGBoost",3,0.05,100,0.643374816046734,0.109039480320764,0.0756181028725765
"Dataset 3 with Ref 4","EMSC","VIP","XGBoost",3,0.05,100,0.622737257834156,0.112150116024713,0.0764039265865498
"Dataset 3 with Ref 4","EMSC","GA","XGBoost",3,0.05,100,0.595461976709764,0.116133480688054,0.080565694328969
"Dataset 3 with Ref 4","EMSC","PCA","XGBoost",3,0.05,100,0.530234846740882,0.125146344275188,0.0876871959737998
"Dataset 3 with Ref 4","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.523617210492114,0.126024737128231,0.0863734801840457
"Dataset 3 with Ref 4","RNV","None","XGBoost",3,0.05,100,0.37328544466562,0.144548190454967,0.106129663508441
"Dataset 3 with Ref 4","RNV","VIP","XGBoost",3,0.05,100,0.347444798298356,0.147498090025285,0.105520631975391
"Dataset 3 with Ref 4","RNV","GA","XGBoost",3,0.05,200,0.452388146275896,0.135118305090157,0.0970713973185928
"Dataset 3 with Ref 4","RNV","PCA","XGBoost",3,0.05,100,0.395270862090884,0.141990149385989,0.101692409943623
"Dataset 3 with Ref 4","RNV","Kernel_PCA","XGBoost",3,0.05,100,0.2025111523621,0.163057236600016,0.116784034999123
