"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 2 with Ref 4","2nd_Der","GA",3,0.182817896207837,0.135136352810872,1.35354134856386
"Dataset 2 with Ref 4","EMSC","None",1,-0.0188104988175128,0.150889658601602,1.21222781546996
"Dataset 2 with Ref 4","EMSC","VIP",1,-0.00462590867274004,0.149835581323453,1.22075570841062
"Dataset 2 with Ref 4","EMSC","SR",1,-0.00148905867827276,0.149601474675311,1.22266603066992
"Dataset 2 with Ref 4","EMSC","sMC",1,-0.0264949180613194,0.151457635282091,1.20768187673704
"Dataset 2 with Ref 4","EMSC","UVE",1,-0.00221610539133965,0.149655767593604,1.2222224653602
"Dataset 2 with Ref 4","EMSC","GA",5,-0.171543148891268,0.16180499128149,1.13045116701881
"Dataset 2 with Ref 4","RNV","None",2,0.120568144074813,0.140188977018068,1.30475765723046
"Dataset 2 with Ref 4","RNV","VIP",2,0.123220925158334,0.139977379304714,1.30673000260599
"Dataset 2 with Ref 4","RNV","SR",1,0.0423986633285743,0.146286800665428,1.25037009758636
"Dataset 2 with Ref 4","RNV","sMC",6,0.145318027348539,0.138202227183211,1.32351442485183
"Dataset 2 with Ref 4","RNV","UVE",4,0.104367278621387,0.141474362620389,1.29290309449514
"Dataset 2 with Ref 4","RNV","GA",2,0.0857420135699501,0.142937819087364,1.27966581826627
"Dataset 3 with Ref 1","Raw","None",3,0.104541751167222,1.60566173470214,1.15241398814273
"Dataset 3 with Ref 1","Raw","VIP",2,0.152597458873075,1.56198287411277,1.1846397767628
"Dataset 3 with Ref 1","Raw","SR",3,-0.0188189012074711,1.71269442318662,1.0803953222744
"Dataset 3 with Ref 1","Raw","sMC",3,0.0880350009853307,1.62039342443998,1.14193689963644
"Dataset 3 with Ref 1","Raw","UVE",1,0.040905045148973,1.66173661813599,1.11352606851252
"Dataset 3 with Ref 1","Raw","GA",2,0.139244075712053,1.57424164529365,1.17541487282348
"Dataset 3 with Ref 1","SNV","None",4,0.411673839675179,1.30148889517954,1.42174631696801
"Dataset 3 with Ref 1","SNV","VIP",3,0.395106448299819,1.31968677436703,1.40214108320043
"Dataset 3 with Ref 1","SNV","SR",11,0.289747231837621,1.4300059826116,1.29397153983715
"Dataset 3 with Ref 1","SNV","sMC",4,0.430992298701661,1.2799424976802,1.44567982284357
"Dataset 3 with Ref 1","SNV","UVE",10,0.396386200454658,1.31829002761174,1.40362667132398
"Dataset 3 with Ref 1","SNV","GA",4,0.42812246423156,1.28316618269177,1.44204785650959
"Dataset 3 with Ref 1","1st_Der","None",2,0.101994748574794,1.60794365049607,1.15077853799503
"Dataset 3 with Ref 1","1st_Der","VIP",2,0.131313435580324,1.58147721466592,1.17003711854751
"Dataset 3 with Ref 1","1st_Der","SR",2,0.128164820279038,1.58434070974908,1.16792242470959
"Dataset 3 with Ref 1","1st_Der","sMC",2,0.139542114289215,1.57396907943153,1.17561842063922
"Dataset 3 with Ref 1","1st_Der","UVE",2,0.117685040725889,1.5938344444805,1.16096565092078
"Dataset 3 with Ref 1","1st_Der","GA",2,0.151528978228499,1.56296730750118,1.18389363258954
"Dataset 3 with Ref 1","2nd_Der","None",2,0.124214491527373,1.58792601648884,1.16528542519114
"Dataset 3 with Ref 1","2nd_Der","VIP",2,0.095697697889383,1.6135714651931,1.14676485250985
"Dataset 3 with Ref 1","2nd_Der","SR",2,0.0880562584314174,1.62037453905149,1.14195020885691
"Dataset 3 with Ref 1","2nd_Der","sMC",2,0.117414344668111,1.59407892158552,1.16078759855617
"Dataset 3 with Ref 1","2nd_Der","UVE",2,0.13113525066697,1.58163940258446,1.16991713804845
"Dataset 3 with Ref 1","2nd_Der","GA",2,0.158615939700316,1.55642617894674,1.18886913386952
"Dataset 3 with Ref 1","EMSC","None",6,0.397487318172545,1.31708706048745,1.40490867977357
"Dataset 3 with Ref 1","EMSC","VIP",6,0.421945809883216,1.2900770925089,1.43432284321683
"Dataset 3 with Ref 1","EMSC","SR",1,0.279560272605547,1.44022456286108,1.2847906437732
"Dataset 3 with Ref 1","EMSC","sMC",5,0.470815501193087,1.23434040063857,1.49908975055746
"Dataset 3 with Ref 1","EMSC","UVE",6,0.395212400724366,1.31957119193407,1.40226389800477
"Dataset 3 with Ref 1","EMSC","GA",3,0.496525124691356,1.20398281585121,1.53688825034272
"Dataset 3 with Ref 1","RNV","None",2,0.0922260330916881,1.61666579169998,1.14456992459185
"Dataset 3 with Ref 1","RNV","VIP",2,0.100283896464297,1.60947462415801,1.14968388784899
"Dataset 3 with Ref 1","RNV","SR",5,0.054104517931041,1.6502622394085,1.12126848637069
"Dataset 3 with Ref 1","RNV","sMC",5,0.0622324626064318,1.64315670850211,1.1261172070332
"Dataset 3 with Ref 1","RNV","UVE",2,0.131920183650972,1.58092481412162,1.17044594832573
"Dataset 3 with Ref 1","RNV","GA",2,0.134733996847441,1.57836051203639,1.1723475271875
"Dataset 3 with Ref 2","Raw","None",2,0.0381297923383331,1.69095357624963,1.09066194256749
"Dataset 3 with Ref 2","Raw","VIP",1,-0.0698597542378407,1.78335117879906,1.03415341531656
"Dataset 3 with Ref 2","Raw","SR",1,-0.118277553380554,1.82325851997913,1.01151794551053
"Dataset 3 with Ref 2","Raw","sMC",2,0.0435257344879607,1.68620391247992,1.09373409622297
"Dataset 3 with Ref 2","Raw","UVE",3,-0.0765859618758873,1.78894835911547,1.03091780311409
"Dataset 3 with Ref 2","Raw","GA",2,0.0169951463945744,1.70942983279913,1.07887359684367
"Dataset 3 with Ref 2","SNV","None",1,0.269968441667216,1.47314082462251,1.25192288574071
"Dataset 3 with Ref 2","SNV","VIP",3,0.281586887714045,1.46137129697279,1.26200556702066
"Dataset 3 with Ref 2","SNV","SR",3,0.194975921430321,1.54695572161248,1.19218584378194
"Dataset 3 with Ref 2","SNV","sMC",5,0.278816549104311,1.46418624969543,1.2595793142078
"Dataset 3 with Ref 2","SNV","UVE",1,0.256486131693136,1.48668166249444,1.24052025311825
"Dataset 3 with Ref 2","SNV","GA",4,0.233646727344604,1.50934303863545,1.22189500004665
"Dataset 3 with Ref 2","1st_Der","None",1,-0.101064636467104,1.80917198904012,1.01939380193608
"Dataset 3 with Ref 2","1st_Der","VIP",1,0.0231356716057496,1.70408233074848,1.08225916024481
"Dataset 3 with Ref 2","1st_Der","SR",1,0.0409035747340174,1.68851368179425,1.09223794402668
"Dataset 3 with Ref 2","1st_Der","sMC",1,0.0413105439185801,1.68815540397679,1.0924697500712
"Dataset 3 with Ref 2","1st_Der","UVE",1,0.105912884590745,1.63028437442765,1.13124970170393
"Dataset 3 with Ref 2","1st_Der","GA",1,0.0597838330493136,1.67181148783635,1.10314992191535
"Dataset 3 with Ref 2","2nd_Der","None",3,0.0639327695483982,1.66811876862779,1.10559196799936
"Dataset 3 with Ref 2","2nd_Der","VIP",1,0.0683178662841887,1.66420695073304,1.108190727993
"Dataset 3 with Ref 2","2nd_Der","SR",1,0.0553386326038608,1.67575886416176,1.10055136911741
"Dataset 3 with Ref 2","2nd_Der","sMC",1,0.0513688625706221,1.67927621087548,1.09824619697457
"Dataset 3 with Ref 2","2nd_Der","UVE",2,0.0833817498117819,1.65069827650884,1.11725973093302
"Dataset 3 with Ref 2","2nd_Der","GA",1,0.101914758012521,1.63392541377723,1.12872882489807
"Dataset 3 with Ref 2","EMSC","None",2,0.212405627806904,1.5301173863652,1.20530537637044
"Dataset 3 with Ref 2","EMSC","VIP",4,0.249255987610455,1.4938926359281,1.23453230032029
"Dataset 3 with Ref 2","EMSC","SR",1,0.174273452466995,1.56672066455359,1.17714583970804
"Dataset 3 with Ref 2","EMSC","sMC",4,0.288658461677372,1.45416113356869,1.26826296597395
"Dataset 3 with Ref 2","EMSC","UVE",4,0.249692379765523,1.4934583881812,1.23489126102126
"Dataset 3 with Ref 2","EMSC","GA",2,0.299870729813315,1.44265526521826,1.27837797201319
"Dataset 3 with Ref 2","RNV","None",3,0.0371042689730081,1.69185476354969,1.09008098803612
"Dataset 3 with Ref 2","RNV","VIP",2,0.0862596721291703,1.64810487617865,1.11901781186403
"Dataset 3 with Ref 2","RNV","SR",2,0.0288157411258587,1.69912083446406,1.08541939740595
"Dataset 3 with Ref 2","RNV","sMC",2,0.0542736423924285,1.67670320471255,1.0999315246016
"Dataset 3 with Ref 2","RNV","UVE",3,-0.0531360859604038,1.76935792240355,1.04233218667174
"Dataset 3 with Ref 2","RNV","GA",3,0.0695084394522463,1.66314328671221,1.10889947186072
"Dataset 3 with Ref 3","Raw","None",2,0.197037874957411,0.154667507347727,1.36577423633809
"Dataset 3 with Ref 3","Raw","VIP",3,0.180672432158602,0.156235722475847,1.35206528562516
"Dataset 3 with Ref 3","Raw","SR",5,0.0804065352125667,0.165519625209914,1.27622870379425
"Dataset 3 with Ref 3","Raw","sMC",3,0.201590133118268,0.154228453521796,1.36966228935379
"Dataset 3 with Ref 3","Raw","UVE",2,0.182990820633998,0.156014521756558,1.35398227264879
"Dataset 3 with Ref 3","Raw","GA",2,0.222843757863957,0.1521618311302,1.3882646861249
"Dataset 3 with Ref 3","SNV","None",5,0.571330195228413,0.113008992403145,1.86923971484131
"Dataset 3 with Ref 3","SNV","VIP",3,0.549611431282955,0.115836449030612,1.82361336610322
"Dataset 3 with Ref 3","SNV","SR",8,0.533475133278734,0.117893253990267,1.79179800017733
"Dataset 3 with Ref 3","SNV","sMC",5,0.602400036057526,0.108836539390008,1.94090052769127
"Dataset 3 with Ref 3","SNV","UVE",6,0.588279285910177,0.110752341011846,1.90732669670218
"Dataset 3 with Ref 3","SNV","GA",4,0.591434973114965,0.110327086696345,1.91467846255708
"Dataset 3 with Ref 3","1st_Der","None",2,0.163732207919476,0.157842605625858,1.33830087191333
"Dataset 3 with Ref 3","1st_Der","VIP",4,0.198247810781954,0.154550933787129,1.36680440265156
"Dataset 3 with Ref 3","1st_Der","SR",2,0.183646747163526,0.155951881939234,1.3545261147696
"Dataset 3 with Ref 3","1st_Der","sMC",2,0.168324502773797,0.157408619251522,1.34199065933371
"Dataset 3 with Ref 3","1st_Der","UVE",2,0.1664346136635,0.157587364463995,1.34046849157391
"Dataset 3 with Ref 3","1st_Der","GA",2,0.198313693750708,0.154544583643241,1.3668605638215
"Dataset 3 with Ref 3","2nd_Der","None",3,0.166298837301303,0.157600198350929,1.34035933294822
"Dataset 3 with Ref 3","2nd_Der","VIP",2,0.177506313137552,0.156537301450461,1.34946044665916
"Dataset 3 with Ref 3","2nd_Der","SR",1,0.144195379564839,0.159675715025313,1.32293690809946
"Dataset 3 with Ref 3","2nd_Der","sMC",3,0.169216968118502,0.157324139520038,1.34271127990027
"Dataset 3 with Ref 3","2nd_Der","UVE",2,0.156074346597477,0.158563655890006,1.33221510029192
"Dataset 3 with Ref 3","2nd_Der","GA",2,0.205098769749165,0.153889199562921,1.37268175631642
"Dataset 3 with Ref 3","EMSC","None",6,0.538075600919571,0.117310532837985,1.80069846776587
"Dataset 3 with Ref 3","EMSC","VIP",5,0.538288521123803,0.11728349306519,1.80111361977208
"Dataset 3 with Ref 3","EMSC","SR",2,0.375772114596973,0.136371349720302,1.54901229009916
"Dataset 3 with Ref 3","EMSC","sMC",5,0.567162796715315,0.113556983438358,1.86021933956026
"Dataset 3 with Ref 3","EMSC","UVE",5,0.522606268655282,0.119258656397822,1.77128355387052
"Dataset 3 with Ref 3","EMSC","GA",4,0.53485600182913,0.117718648367495,1.7944556760005
"Dataset 3 with Ref 3","RNV","None",3,0.149245485322075,0.159203894493485,1.32685759607974
"Dataset 3 with Ref 3","RNV","VIP",3,0.197238872498452,0.154648147944958,1.3659452087932
"Dataset 3 with Ref 3","RNV","SR",1,0.0548930007758458,0.167800034538231,1.25888470354295
"Dataset 3 with Ref 3","RNV","sMC",3,0.195044269836036,0.154859393596792,1.3640819057071
"Dataset 3 with Ref 3","RNV","UVE",3,0.237723922065403,0.150698073897114,1.40174914828957
"Dataset 3 with Ref 3","RNV","GA",3,0.210234122190512,0.153391303879192,1.37713736953776
"Dataset 3 with Ref 4","Raw","None",3,0.197308777646487,0.133932824272626,1.36570435378337
"Dataset 3 with Ref 4","Raw","VIP",3,0.180668695819857,0.135313941373539,1.35176493543036
"Dataset 3 with Ref 4","Raw","SR",5,0.0534321922856583,0.145441597193566,1.25763636231382
"Dataset 3 with Ref 4","Raw","sMC",3,0.201264681971016,0.13360238597807,1.36908214538663
"Dataset 3 with Ref 4","Raw","UVE",4,0.123201286620959,0.139978946937702,1.3067153684549
"Dataset 3 with Ref 4","Raw","GA",3,0.195642939911369,0.134071728692088,1.36428942184903
"Dataset 3 with Ref 4","SNV","None",5,0.571289580823997,0.0978801867582218,1.86874021476327
"Dataset 3 with Ref 4","SNV","VIP",3,0.549115712690166,0.100379567601739,1.82220989384357
"Dataset 3 with Ref 4","SNV","SR",5,0.564545747553089,0.0986470353937216,1.85421326138778
"Dataset 3 with Ref 4","SNV","sMC",5,0.600819854204047,0.0944489722057762,1.9366292395974
"Dataset 3 with Ref 4","SNV","UVE",3,0.536780597472403,0.1017433753002,1.79778428505968
"Dataset 3 with Ref 4","SNV","GA",4,0.593140077450516,0.0953531898565772,1.91826452265259
"Dataset 3 with Ref 4","1st_Der","None",2,0.163728859335302,0.136705606165679,1.33800395136648
"Dataset 3 with Ref 4","1st_Der","VIP",4,0.198246642617575,0.133854557802729,1.36650289856547
"Dataset 3 with Ref 4","1st_Der","SR",2,0.190855339931815,0.134470139755961,1.36024727538458
"Dataset 3 with Ref 4","1st_Der","sMC",2,0.166606620596377,0.136470189021924,1.34031206767247
"Dataset 3 with Ref 4","1st_Der","UVE",2,0.16278080421829,0.136783073706888,1.33724616845204
"Dataset 3 with Ref 4","1st_Der","GA",2,0.203593493220197,0.133407476693673,1.37108238426268
"Dataset 3 with Ref 4","2nd_Der","None",3,0.166295347073841,0.136495672540096,1.34006183360793
"Dataset 3 with Ref 4","2nd_Der","VIP",2,0.174690268372541,0.13580671776346,1.34686003929655
"Dataset 3 with Ref 4","2nd_Der","SR",1,0.143474855625172,0.138351167524769,1.32208961077891
"Dataset 3 with Ref 4","2nd_Der","sMC",3,0.167485242413382,0.136398231823602,1.34101915236102
"Dataset 3 with Ref 4","2nd_Der","UVE",2,0.166134278167941,0.136508857153373,1.33993240466529
"Dataset 3 with Ref 4","2nd_Der","GA",2,0.209882042879178,0.13287972974218,1.37652779380666
"Dataset 3 with Ref 4","EMSC","None",5,0.535593542777215,0.101873656625466,1.79548518510628
"Dataset 3 with Ref 4","EMSC","VIP",5,0.538246708280456,0.10158223645468,1.8006360915792
"Dataset 3 with Ref 4","EMSC","SR",2,0.375747798681449,0.118111670325187,1.54864155862017
"Dataset 3 with Ref 4","EMSC","sMC",6,0.576391589517527,0.0972960159240199,1.87996023769841
"Dataset 3 with Ref 4","EMSC","UVE",10,0.51291026944226,0.104331933700994,1.75317982457644
"Dataset 3 with Ref 4","EMSC","GA",7,0.55699359528427,0.0994987838682543,1.83834047123452
"Dataset 3 with Ref 4","RNV","None",3,0.149237513940697,0.137884972200318,1.32655965552137
"Dataset 3 with Ref 4","RNV","VIP",3,0.214711782345145,0.132472981471939,1.38075431828621
"Dataset 3 with Ref 4","RNV","SR",1,0.0548889554151681,0.145329637154576,1.25860522880876
"Dataset 3 with Ref 4","RNV","sMC",3,0.192884345811395,0.134301435705962,1.36195596318192
"Dataset 3 with Ref 4","RNV","UVE",3,0.231324616003457,0.131064253064409,1.39559519050354
"Dataset 3 with Ref 4","RNV","GA",3,0.2150716665993,0.132442622934483,1.38107081520209
