"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 1 with Ref 2","1st_Der","GA",1,0.0793845647721774,1.65429354029703,1.11483159870934
"Dataset 1 with Ref 2","2nd_Der","None",1,0.0386248384088781,1.69051837841728,1.09094271663022
"Dataset 1 with Ref 2","2nd_Der","VIP",1,0.0355865772823097,1.6931875677356,1.08922292332344
"Dataset 1 with Ref 2","2nd_Der","SR",1,-0.0825496236103358,1.79389638437911,1.02807426801419
"Dataset 1 with Ref 2","2nd_Der","sMC",2,0.0848147677253079,1.6494074417169,1.1181341041751
"Dataset 1 with Ref 2","2nd_Der","UVE",2,-0.0760582287770746,1.78850984188655,1.0311705695276
"Dataset 1 with Ref 2","2nd_Der","GA",2,0.12230282823031,1.61527249274447,1.14176321366702
"Dataset 1 with Ref 2","EMSC","None",6,0.0418224448210364,1.68770464087633,1.09276153397685
"Dataset 1 with Ref 2","EMSC","VIP",3,0.225300570726192,1.5175397157366,1.21529518676794
"Dataset 1 with Ref 2","EMSC","SR",1,0.171219281804763,1.56961545810676,1.174974865811
"Dataset 1 with Ref 2","EMSC","sMC",3,0.241176164343077,1.50191007278129,1.22794216890003
"Dataset 1 with Ref 2","EMSC","UVE",1,-0.0823799273154975,1.7937557767368,1.02815485596313
"Dataset 1 with Ref 2","EMSC","GA",4,0.216701922751568,1.52593831566554,1.20860633312002
"Dataset 1 with Ref 2","RNV","None",3,0.0155801839803752,1.71065968897279,1.07809795493065
"Dataset 1 with Ref 2","RNV","VIP",2,0.0914994486220169,1.64337261431694,1.12224013969615
"Dataset 1 with Ref 2","RNV","SR",3,0.018202960555572,1.70837932518684,1.07953701211068
"Dataset 1 with Ref 2","RNV","sMC",2,-0.00253533610148615,1.72632791172296,1.06831309378715
"Dataset 1 with Ref 2","RNV","UVE",3,0.0569619960774634,1.67431838213282,1.10149821679349
"Dataset 1 with Ref 2","RNV","GA",3,0.01527273139404,1.71092680350961,1.07792963935146
"Dataset 1 with Ref 3","Raw","None",3,0.159166017116857,0.158272945220459,1.33466207026046
"Dataset 1 with Ref 3","Raw","VIP",3,0.209213888146045,0.153490348752217,1.3762487247662
"Dataset 1 with Ref 3","Raw","SR",2,0.0494210211002035,0.168285097693442,1.25525610781631
"Dataset 1 with Ref 3","Raw","sMC",2,0.194883223511539,0.154874884069087,1.36394547123553
"Dataset 1 with Ref 3","Raw","UVE",1,0.00151080714251794,0.172473843085105,1.22477062582715
"Dataset 1 with Ref 3","Raw","GA",4,0.198288805772413,0.154546982506962,1.36683934754043
"Dataset 1 with Ref 3","SNV","None",8,0.459416780498832,0.126906198922047,1.66454356468367
"Dataset 1 with Ref 3","SNV","VIP",8,0.455731554379699,0.127338032238264,1.65889870466117
"Dataset 1 with Ref 3","SNV","SR",5,0.48150970099559,0.124285903481411,1.69963681171415
"Dataset 1 with Ref 3","SNV","sMC",10,0.436487261834868,0.129569691580471,1.63032646105331
"Dataset 1 with Ref 3","SNV","UVE",3,0.512663178499836,0.120494207424974,1.75312076197263
"Dataset 1 with Ref 3","SNV","GA",8,0.543511565269737,0.116618230037931,1.81138829379807
"Dataset 1 with Ref 3","1st_Der","None",2,0.19231432149549,0.155121768468446,1.36177468075428
"Dataset 1 with Ref 3","1st_Der","VIP",2,0.161168860187699,0.15808433196738,1.33625447952519
"Dataset 1 with Ref 3","1st_Der","SR",4,0.0737178729347797,0.166120488021714,1.27161254610898
"Dataset 1 with Ref 3","1st_Der","sMC",2,0.173780992588963,0.15689140313479,1.34641473346169
"Dataset 1 with Ref 3","1st_Der","UVE",1,0.20511551669224,0.153887578489044,1.3726962163434
"Dataset 1 with Ref 3","1st_Der","GA",2,0.197885983811042,0.154585803906109,1.36649609082125
"Dataset 1 with Ref 3","2nd_Der","None",3,0.111162000164321,0.162728215846713,1.29812089215765
"Dataset 1 with Ref 3","2nd_Der","VIP",3,0.175066256523216,0.156769325730609,1.34746319632166
