"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Mtry","R2","RMSE","MAE"
"Dataset 1 with Ref 2","EMSC","Kernel_PCA","Random_Forest",10,0.330799309781497,1.50603159006412,0.824343170280209
"Dataset 1 with Ref 2","RNV","None","Random_Forest",30,-0.0308352898656374,1.86917743888285,1.08159357490079
"Dataset 1 with Ref 2","RNV","VIP","Random_Forest",14,0.0205575063165625,1.82198737193299,1.02252250188025
"Dataset 1 with Ref 2","RNV","GA","Random_Forest",9,-0.0375449821286826,1.87525079676544,1.0866718950336
"Dataset 1 with Ref 2","RNV","PCA","Random_Forest",4,0.09015592828098,1.75606010426832,1.04418624863553
"Dataset 1 with Ref 2","RNV","Kernel_PCA","Random_Forest",6,0.0394373053214221,1.8043415474142,1.02742102365601
"Dataset 1 with Ref 3","Raw","None","Random_Forest",29,0.270639005084107,0.179981305758841,0.128324493044816
"Dataset 1 with Ref 3","Raw","VIP","Random_Forest",61,0.443825310228861,0.157167136922678,0.109640728088297
"Dataset 1 with Ref 3","Raw","GA","Random_Forest",8,0.285783107963848,0.178102981580216,0.126600826365319
"Dataset 1 with Ref 3","Raw","PCA","Random_Forest",4,0.351503501441142,0.169710982983174,0.12110124277951
"Dataset 1 with Ref 3","Raw","Kernel_PCA","Random_Forest",10,0.439878194289861,0.157723850630005,0.111395233973463
"Dataset 1 with Ref 3","SNV","None","Random_Forest",295,0.632368327367412,0.127779913930192,0.0912140898716722
"Dataset 1 with Ref 3","SNV","VIP","Random_Forest",18,0.650956370044132,0.124507636604302,0.0889476199699034
"Dataset 1 with Ref 3","SNV","GA","Random_Forest",32,0.63161463032834,0.127910830333151,0.0918673985721336
"Dataset 1 with Ref 3","SNV","PCA","Random_Forest",6,0.519979001880308,0.146011226476996,0.104903733835228
"Dataset 1 with Ref 3","SNV","Kernel_PCA","Random_Forest",6,0.52095366250642,0.145862916604514,0.102245086957059
"Dataset 1 with Ref 3","1st_Der","None","Random_Forest",297,0.59428110541862,0.134235921334876,0.0981942748047831
"Dataset 1 with Ref 3","1st_Der","VIP","Random_Forest",13,0.618578176593071,0.130154413701561,0.0954952749810593
"Dataset 1 with Ref 3","1st_Der","GA","Random_Forest",34,0.615070397359839,0.130751532217622,0.092041103597342
"Dataset 1 with Ref 3","1st_Der","PCA","Random_Forest",6,0.48834430840636,0.150745735801624,0.107524570905744
"Dataset 1 with Ref 3","1st_Der","Kernel_PCA","Random_Forest",10,0.550419419859404,0.141305772255456,0.102879058257312
"Dataset 1 with Ref 3","2nd_Der","None","Random_Forest",297,0.574609558192784,0.137451661808414,0.097211775635496
"Dataset 1 with Ref 3","2nd_Der","VIP","Random_Forest",57,0.618982822977309,0.130085355659499,0.0920155777273341
"Dataset 1 with Ref 3","2nd_Der","GA","Random_Forest",31,0.504708479744484,0.148315512737072,0.106871524183234
"Dataset 1 with Ref 3","2nd_Der","PCA","Random_Forest",10,0.385572038294456,0.165192991129421,0.116320974056453
"Dataset 1 with Ref 3","2nd_Der","Kernel_PCA","Random_Forest",10,0.662529672495272,0.122426075422584,0.0846454079014853
"Dataset 1 with Ref 3","EMSC","None","Random_Forest",443,0.648618590266428,0.124923896435692,0.0883897070591498
"Dataset 1 with Ref 3","EMSC","VIP","Random_Forest",22,0.647724330840845,0.125082759968746,0.0896997555638176
"Dataset 1 with Ref 3","EMSC","GA","Random_Forest",31,0.642457783290898,0.126014289574907,0.0884812613033108
"Dataset 1 with Ref 3","EMSC","PCA","Random_Forest",10,0.567719675317252,0.138560316175762,0.0998902467888196
"Dataset 1 with Ref 3","EMSC","Kernel_PCA","Random_Forest",10,0.638209834155436,0.126760665338779,0.0898495605647763
"Dataset 1 with Ref 3","RNV","None","Random_Forest",30,0.301314419443276,0.176155830139378,0.125366356053415
"Dataset 1 with Ref 3","RNV","VIP","Random_Forest",61,0.438140802895114,0.157968275941803,0.110873427971577
"Dataset 1 with Ref 3","RNV","GA","Random_Forest",10,0.327592964468179,0.172811347101867,0.12317674449547
"Dataset 1 with Ref 3","RNV","PCA","Random_Forest",4,0.352377615536135,0.169596566956393,0.122732790904218
"Dataset 1 with Ref 3","RNV","Kernel_PCA","Random_Forest",10,0.349018831002142,0.170035790233343,0.122432700850389
"Dataset 1 with Ref 4","Raw","None","Random_Forest",29,0.278020411643194,0.155145873315668,0.112056245864832
"Dataset 1 with Ref 4","Raw","VIP","Random_Forest",92,0.436440466165701,0.137071659038174,0.0979525005795815
"Dataset 1 with Ref 4","Raw","GA","Random_Forest",9,0.30603554639353,0.152106012523819,0.109077154110358
"Dataset 1 with Ref 4","Raw","PCA","Random_Forest",4,0.360984735022662,0.145959842167078,0.103863516584386
"Dataset 1 with Ref 4","Raw","Kernel_PCA","Random_Forest",10,0.436706156628272,0.137039343973201,0.0971005852535988
"Dataset 1 with Ref 4","SNV","None","Random_Forest",295,0.635732919588646,0.110201557139294,0.078800179768116
"Dataset 1 with Ref 4","SNV","VIP","Random_Forest",116,0.656348123384712,0.107037788743867,0.0749137616983545
"Dataset 1 with Ref 4","SNV","GA","Random_Forest",32,0.618596088038641,0.112763965555395,0.0802747727368063
"Dataset 1 with Ref 4","SNV","PCA","Random_Forest",6,0.522946682733838,0.126113398360204,0.0913463822793944
"Dataset 1 with Ref 4","SNV","Kernel_PCA","Random_Forest",10,0.522320963163152,0.126196078597171,0.0897919351973726
"Dataset 1 with Ref 4","1st_Der","None","Random_Forest",297,0.609327548300958,0.114125886134686,0.0833955481448979
"Dataset 1 with Ref 4","1st_Der","VIP","Random_Forest",13,0.619748324229516,0.112593504532285,0.0811367688710051
"Dataset 1 with Ref 4","1st_Der","GA","Random_Forest",31,0.623677654854138,0.112010251378291,0.081295292931073
"Dataset 1 with Ref 4","1st_Der","PCA","Random_Forest",6,0.482515346917665,0.131348919917298,0.095377883370841
"Dataset 1 with Ref 4","1st_Der","Kernel_PCA","Random_Forest",10,0.557265267072243,0.121492527107023,0.0887214594696242
"Dataset 1 with Ref 4","2nd_Der","None","Random_Forest",446,0.562033134658419,0.120836571943209,0.0873881463321613
"Dataset 1 with Ref 4","2nd_Der","VIP","Random_Forest",12,0.624563875060944,0.11187828438271,0.0797504993788254
"Dataset 1 with Ref 4","2nd_Der","GA","Random_Forest",48,0.508422599184777,0.128018791499011,0.0931005034149943
"Dataset 1 with Ref 4","2nd_Der","PCA","Random_Forest",10,0.368347111576127,0.145116572368311,0.102935593299894
"Dataset 1 with Ref 4","2nd_Der","Kernel_PCA","Random_Forest",10,0.653864032233679,0.107423954033015,0.0765107528038058
"Dataset 1 with Ref 4","EMSC","None","Random_Forest",295,0.638126527778362,0.109838891778274,0.0762231866332515
"Dataset 1 with Ref 4","EMSC","VIP","Random_Forest",155,0.646256672579465,0.108598017463563,0.0747750129989698
"Dataset 1 with Ref 4","EMSC","GA","Random_Forest",33,0.647654102590631,0.108383302032439,0.0760332013539721
"Dataset 1 with Ref 4","EMSC","PCA","Random_Forest",10,0.563948715023843,0.120572024735003,0.0869214504087337
"Dataset 1 with Ref 4","EMSC","Kernel_PCA","Random_Forest",10,0.64007101928297,0.109543390041273,0.0788046859335548
"Dataset 1 with Ref 4","RNV","None","Random_Forest",30,0.293426798387077,0.153481611174497,0.11110304477973
"Dataset 1 with Ref 4","RNV","VIP","Random_Forest",61,0.437754475708021,0.136911765922199,0.0976393769493567
"Dataset 1 with Ref 4","RNV","GA","Random_Forest",45,0.316413206957708,0.150964419171167,0.108811749497227
"Dataset 1 with Ref 4","RNV","PCA","Random_Forest",4,0.349969141458137,0.147212522936416,0.105710657311985
"Dataset 1 with Ref 4","RNV","Kernel_PCA","Random_Forest",10,0.337318308694597,0.148638137452789,0.108246977672555
"Dataset 2 with Ref 1","Raw","None","Random_Forest",9,0.288650067839961,1.55697756504331,0.970854637538752
"Dataset 2 with Ref 1","Raw","VIP","Random_Forest",26,0.280430921038113,1.56594662054237,0.977767295642436
"Dataset 2 with Ref 1","Raw","GA","Random_Forest",2,0.279034967897621,1.56746484095917,0.986283493681087
"Dataset 2 with Ref 1","Raw","PCA","Random_Forest",6,0.31518708577455,1.52765989828131,0.999163922244264
"Dataset 2 with Ref 1","Raw","Kernel_PCA","Random_Forest",4,0.350876500851943,1.48731984695795,0.966712045202343
"Dataset 2 with Ref 1","SNV","None","Random_Forest",9,0.519394509976459,1.27977927037888,0.832470065452483
"Dataset 2 with Ref 1","SNV","VIP","Random_Forest",7,0.513674284687979,1.28737278712609,0.849445448869509
"Dataset 2 with Ref 1","SNV","GA","Random_Forest",1,0.509241594345969,1.29322645722433,0.837219205498362
"Dataset 2 with Ref 1","SNV","PCA","Random_Forest",10,0.341334549367593,1.49821157959593,0.951459865380387
"Dataset 2 with Ref 1","SNV","Kernel_PCA","Random_Forest",10,0.413233549875966,1.41407793120366,0.908418155950011
"Dataset 2 with Ref 1","1st_Der","None","Random_Forest",9,0.459627204064119,1.35702374233977,0.863137993468954
"Dataset 2 with Ref 1","1st_Der","VIP","Random_Forest",8,0.478547594389446,1.33305492943341,0.836816235651855
"Dataset 2 with Ref 1","1st_Der","GA","Random_Forest",1,0.112849360373146,1.73875900625383,1.0781639251337
"Dataset 2 with Ref 1","1st_Der","PCA","Random_Forest",10,0.480992851246479,1.3299256964902,0.921320632903625
"Dataset 2 with Ref 1","1st_Der","Kernel_PCA","Random_Forest",10,0.467043146087458,1.34767984487817,0.900729113543348
"Dataset 2 with Ref 1","2nd_Der","None","Random_Forest",9,0.422187467925004,1.40324720542651,0.897474513953509
"Dataset 2 with Ref 1","2nd_Der","VIP","Random_Forest",5,0.437525616500008,1.38449719979733,0.879910931028417
"Dataset 2 with Ref 1","2nd_Der","GA","Random_Forest",2,0.291122136431439,1.55426982238558,0.962425111919827
"Dataset 2 with Ref 1","2nd_Der","PCA","Random_Forest",10,0.446073369188536,1.37393703418336,0.927603928787122
"Dataset 2 with Ref 1","2nd_Der","Kernel_PCA","Random_Forest",10,0.380482411435215,1.45300640238357,0.974635861579324
"Dataset 2 with Ref 1","EMSC","None","Random_Forest",43,0.445241007584836,1.37496892457986,0.898660533300663
"Dataset 2 with Ref 1","EMSC","VIP","Random_Forest",7,0.422861652170909,1.40242832107691,0.908998793900421
"Dataset 2 with Ref 1","EMSC","GA","Random_Forest",2,0.451599480980708,1.36706648443893,0.891686801895637
"Dataset 2 with Ref 1","EMSC","PCA","Random_Forest",6,0.309465733124671,1.53402813495877,1.006408024791
"Dataset 2 with Ref 1","EMSC","Kernel_PCA","Random_Forest",10,0.443066788608268,1.37766068820028,0.92002622452381
"Dataset 2 with Ref 1","RNV","None","Random_Forest",10,0.313749034550153,1.52926303765545,0.96041517035205
"Dataset 2 with Ref 1","RNV","VIP","Random_Forest",27,0.28674240199658,1.55906388298558,0.978729317346006
"Dataset 2 with Ref 1","RNV","GA","Random_Forest",3,0.209308368853227,1.6415128189974,1.04482660919668
"Dataset 2 with Ref 1","RNV","PCA","Random_Forest",10,0.299857468876047,1.54466368940639,1.03309848252143
"Dataset 2 with Ref 1","RNV","Kernel_PCA","Random_Forest",4,-0.00977782991789278,1.85504147151454,1.12944346814756
"Dataset 2 with Ref 2","Raw","None","Random_Forest",9,0.181589723950168,1.66548769499401,0.909242008597428
"Dataset 2 with Ref 2","Raw","VIP","Random_Forest",17,0.184040659718223,1.66299196380995,0.919238808285009
"Dataset 2 with Ref 2","Raw","GA","Random_Forest",4,0.21279201546902,1.63343040996443,0.880574138131871
"Dataset 2 with Ref 2","Raw","PCA","Random_Forest",10,0.227203772294954,1.61840938503236,0.940790155390104
"Dataset 2 with Ref 2","Raw","Kernel_PCA","Random_Forest",4,0.241244242330332,1.60364004015144,0.915716862152189
"Dataset 2 with Ref 2","SNV","None","Random_Forest",9,0.372674578602007,1.45815044586672,0.761902433660029
"Dataset 2 with Ref 2","SNV","VIP","Random_Forest",7,0.378388163450518,1.45149495027391,0.755928666648984
"Dataset 2 with Ref 2","SNV","GA","Random_Forest",2,0.377810142808702,1.45216964712199,0.745303527885076
"Dataset 2 with Ref 2","SNV","PCA","Random_Forest",6,0.19275865662895,1.65408411039188,0.912518865631501
"Dataset 2 with Ref 2","SNV","Kernel_PCA","Random_Forest",10,0.292183998660699,1.54887396455106,0.848595974427066
"Dataset 2 with Ref 2","1st_Der","None","Random_Forest",9,0.353479502539041,1.48029080231923,0.79978587593166
"Dataset 2 with Ref 2","1st_Der","VIP","Random_Forest",7,0.384365870086338,1.44449896743995,0.784242126355639
"Dataset 2 with Ref 2","1st_Der","GA","Random_Forest",3,0.375002202264696,1.45544277652015,0.777073496122386
"Dataset 2 with Ref 2","1st_Der","PCA","Random_Forest",10,0.351663865342227,1.48236791104001,0.877514857521512
"Dataset 2 with Ref 2","1st_Der","Kernel_PCA","Random_Forest",10,0.345981243636955,1.48885016438269,0.847928297247781
"Dataset 2 with Ref 2","2nd_Der","None","Random_Forest",9,0.289383905987379,1.55193458330878,0.875298354131663
"Dataset 2 with Ref 2","2nd_Der","VIP","Random_Forest",5,0.304183231156058,1.53568922425479,0.840073871913761
"Dataset 2 with Ref 2","2nd_Der","GA","Random_Forest",3,0.308307224645784,1.53113157022778,0.834655876986753
"Dataset 2 with Ref 2","2nd_Der","PCA","Random_Forest",10,0.343993060137458,1.49111146122666,0.850477479932952
"Dataset 2 with Ref 2","2nd_Der","Kernel_PCA","Random_Forest",6,0.237531891786461,1.60755830357538,0.912385311881336
"Dataset 2 with Ref 2","EMSC","None","Random_Forest",9,0.27657092534891,1.56586339227665,0.865865036202926
"Dataset 2 with Ref 2","EMSC","VIP","Random_Forest",7,0.260924617978285,1.58270604002614,0.880577005803167
"Dataset 2 with Ref 2","EMSC","GA","Random_Forest",5,0.255318612758182,1.58869723991834,0.833385609257701
"Dataset 2 with Ref 2","EMSC","PCA","Random_Forest",6,0.173836029571647,1.67335858850376,0.94373602966479
"Dataset 2 with Ref 2","EMSC","Kernel_PCA","Random_Forest",4,0.286905620753322,1.55463842653942,0.869011586896273
"Dataset 2 with Ref 2","RNV","None","Random_Forest",10,0.182727248272046,1.66432984569387,0.912492605155106
"Dataset 2 with Ref 2","RNV","VIP","Random_Forest",18,0.176917840263283,1.67023463685188,0.917220317897802
"Dataset 2 with Ref 2","RNV","GA","Random_Forest",3,0.228643273460879,1.61690136259444,0.889559904196702
"Dataset 2 with Ref 2","RNV","PCA","Random_Forest",10,0.228849005021456,1.61668572318107,0.959472879790627
"Dataset 2 with Ref 2","RNV","Kernel_PCA","Random_Forest",4,-0.00624454620666159,1.84674810155775,1.02752730655367
"Dataset 2 with Ref 3","Raw","None","Random_Forest",43,0.447214460388642,0.156687542122424,0.114020835436794
"Dataset 2 with Ref 3","Raw","VIP","Random_Forest",30,0.410377506799686,0.16182408221613,0.118917352988528
"Dataset 2 with Ref 3","Raw","GA","Random_Forest",2,0.419312641734348,0.160593260974219,0.11511388064323
"Dataset 2 with Ref 3","Raw","PCA","Random_Forest",10,0.533354736790836,0.143962560404823,0.104429359575322
